,No.,Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,from Open,Gap,Volume
484,485,MOS,1.51,1.37,3.42%,-8.39%,-23.30%,-42.99%,13.93%,49.02,35.82,1.53%,1.04%,0.48%,12257793
485,486,MPC,1.63,3.15,2.72%,-2.55%,-2.54%,-18.40%,45.95%,52.8,113.29,-0.47%,-0.68%,0.20%,10768231
486,487,MPLX,1.4,0.37,0.86%,-0.42%,1.70%,-3.66%,24.05%,55.74,34.07,0.50%,-0.35%,0.86%,4238976
487,488,MPWR,1.12,22.08,6.08%,11.17%,22.00%,-6.51%,71.57%,59.42,517.61,-0.32%,-2.32%,2.05%,1110036
488,489,MRK,0.35,2.22,-1.86%,-4.02%,3.92%,-8.63%,31.63%,40.93,109.32,-0.07%,-0.35%,0.27%,15830593
489,490,MRNA,1.66,4.76,0.84%,-4.42%,-15.83%,-40.75%,11.91%,49.17,128.73,-0.96%,-1.85%,0.91%,5496062
490,491,MRO,2.37,0.82,1.04%,-0.58%,-9.94%,-29.68%,21.01%,51.93,23.5,0.90%,0.13%,0.77%,18394763
491,492,MRVL,1.4,2.69,7.83%,30.84%,41.21%,-10.10%,81.10%,65.33,61.12,-1.47%,-2.98%,1.56%,17815753
492,493,MS,1.33,1.83,4.08%,2.95%,0.29%,-12.77%,22.26%,59.54,88.09,-1.08%,-1.71%,0.64%,13141638
493,494,MSCI,1.13,11.35,0.84%,-2.32%,-2.55%,-16.55%,25.84%,49.23,477.73,-2.01%,-2.83%,0.84%,628092
494,495,MSFT,0.92,6.89,4.21%,10.47%,29.85%,-2.15%,60.39%,65.72,342.33,-1.66%,-2.49%,0.85%,46393046
495,496,MSI,0.92,4.4,-1.26%,-2.37%,6.70%,-6.41%,43.59%,45.03,280.25,-0.72%,-0.97%,0.26%,1302324
496,497,MT,1.92,0.61,5.50%,2.33%,5.58%,-13.44%,46.08%,60.91,28.12,-0.11%,-0.07%,-0.04%,1770252
497,498,MTB,0.79,4.59,-0.77%,1.72%,-17.48%,-36.33%,12.62%,49.76,123.16,-1.29%,-2.10%,0.83%,2639862
498,499,MTCH,1.13,1.51,12.56%,19.08%,-2.24%,-46.77%,37.49%,66.3,42.25,-2.42%,-2.90%,0.48%,5853503
499,500,MTD,1.16,33.77,-0.84%,-7.15%,-5.30%,-18.19%,24.06%,42.64,1321.97,-1.07%,-2.15%,1.10%,188749
500,501,MU,1.37,2.35,-0.69%,5.40%,16.35%,-9.51%,39.71%,53.18,67.66,-1.69%,-3.55%,1.93%,32169642
501,502,MUFG,0.70,0.12,1.77%,5.35%,14.03%,-10.12%,60.79%,56.62,6.93,-1.28%,-0.72%,-0.57%,1788033
502,503,NDAQ,0.94,1.42,-6.41%,-6.80%,-12.75%,-26.00%,5.06%,36.64,51.22,-2.01%,-2.70%,0.71%,7413080
503,504,NDSN,0.93,4.27,5.47%,7.89%,5.12%,-5.63%,21.66%,70.43,237.11,0.22%,-0.24%,0.47%,360292
504,505,NEE,0.46,1.37,2.22%,-0.43%,-4.15%,-17.25%,8.54%,55.4,75.59,1.65%,1.06%,0.59%,23040560
505,506,NEM,0.36,1.07,4.36%,-4.26%,-4.51%,-33.83%,17.04%,53.55,43.83,2.65%,1.34%,1.29%,17156301
506,507,NET,0.96,3.5,5.51%,15.50%,23.75%,-16.50%,80.97%,59.67,67.63,-3.73%,-4.57%,0.88%,4966284
507,508,NFLX,1.28,12.89,8.97%,20.85%,39.18%,-3.72%,154.54%,71.13,431.96,-2.99%,-3.01%,0.02%,8731801
508,509,NGG,0.62,1.05,0.26%,-3.14%,8.18%,-8.79%,43.86%,47.84,67.93,1.01%,-1.11%,2.14%,609499
509,510,NI,0.46,0.44,1.09%,-1.73%,0.23%,-14.09%,15.14%,50.96,27.38,0.15%,-0.44%,0.59%,5454390
510,511,NICE,0.88,6.26,8.41%,9.16%,10.47%,-4.90%,35.80%,64.8,223.6,-2.20%,-2.61%,0.42%,341950
511,512,NIMC,-,0.96,0.21%,-2.16%,-2.78%,-16.89%,4.77%,47.55,101.24,0.21%,0.41%,-0.20%,1706
512,513,NIO,1.96,0.57,16.34%,13.48%,-15.59%,-61.52%,34.29%,64.15,9.4,-3.98%,-7.48%,3.78%,81068201
513,514,NKE,1.12,2.68,4.76%,-3.58%,1.10%,-13.49%,38.15%,54.66,113.59,1.05%,-0.29%,1.34%,14337878
514,515,NLY,1.45,0.44,5.76%,6.93%,0.53%,-26.36%,36.27%,64.05,20.59,-1.44%,-1.62%,0.19%,10140555
515,516,NMR,0.69,0.07,8.37%,8.04%,8.03%,-6.38%,32.22%,70.08,3.96,0.00%,-0.75%,0.76%,1175594
516,517,NOC,0.50,7.32,2.95%,1.13%,-4.84%,-17.60%,6.82%,60.79,458.35,1.21%,1.16%,0.05%,1178360
517,518,NOK,0.97,0.07,5.91%,1.34%,-6.14%,-18.94%,8.91%,64.91,4.28,0.94%,0.00%,0.94%,20144274
518,519,NOW,1.02,15.22,5.29%,15.16%,30.31%,-1.94%,67.80%,67.15,565.48,-1.55%,-1.55%,0.00%,2086255
519,520,NSC,1.28,4.36,4.16%,6.40%,-1.59%,-15.17%,14.16%,67.02,224.14,0.38%,-0.68%,1.06%,1995668
520,521,NTAP,1.19,1.63,6.83%,12.10%,12.75%,-5.97%,28.05%,68.44,74.37,0.83%,0.16%,0.66%,3140499
521,522,NTES,0.55,2.75,10.15%,10.30%,21.63%,-3.40%,85.44%,69.34,98.45,0.32%,0.32%,0.00%,1372434
522,523,NTR,0.95,1.89,3.77%,-6.29%,-20.73%,-41.53%,15.01%,50.28,60.07,0.74%,0.65%,0.08%,2204887
523,524,NTRS,1.09,1.94,1.42%,-3.13%,-14.26%,-28.56%,7.43%,50.08,74.71,-1.23%,-1.66%,0.44%,1991273
524,525,NU,-,0.27,7.48%,27.61%,55.53%,-1.82%,131.29%,72.41,7.54,1.75%,1.34%,0.40%,22099888
525,526,NUE,1.59,4.47,7.05%,5.30%,5.46%,-17.12%,51.22%,61.28,151.41,0.15%,-0.33%,0.48%,3177400
526,527,NVDA,1.75,15.23,14.14%,34.97%,102.82%,-1.38%,294.82%,74.55,426.92,0.09%,-1.89%,2.02%,65402829
527,528,NVO,0.47,3.06,-0.05%,-1.89%,19.16%,-6.75%,69.74%,49.62,161.29,-0.76%,-0.84%,0.08%,1051568
528,529,NVR,1.00,107.37,4.34%,3.97%,21.02%,0.06%,67.52%,65.05,5990.38,0.76%,-0.16%,0.93%,50762
529,530,NVS,0.55,1.35,2.54%,1.57%,14.78%,-3.53%,37.44%,59.23,101.83,0.43%,-0.55%,0.99%,2683278
530,531,NWG,1.23,0.12,-0.49%,-1.23%,2.39%,-15.46%,40.06%,48.53,6.59,0.00%,-0.45%,0.46%,1775795
531,532,NWS,-,0.41,4.32%,9.42%,10.67%,-9.42%,30.69%,64.83,19.8,0.20%,-0.45%,0.66%,1496592
532,533,NWSA,1.32,0.41,3.98%,9.07%,10.72%,-9.77%,31.61%,64.17,19.57,0.31%,-0.46%,0.77%,3908237
533,534,NXPI,1.51,5.6,8.71%,13.76%,17.20%,-0.85%,49.80%,69.21,197.85,1.07%,-0.18%,1.25%,4512624
534,535,O,0.79,0.81,2.21%,0.37%,-2.50%,-18.27%,10.61%,57.79,61.39,0.26%,0.26%,0.00%,18463207
535,536,OC,1.44,2.7,7.43%,14.35%,30.00%,-0.75%,67.41%,74.23,122.16,-0.62%,-0.62%,0.00%,2378288
536,537,ODFL,1.06,9.34,4.47%,1.86%,6.22%,-14.76%,40.47%,57.43,325.46,-0.89%,-2.48%,1.64%,1332931
537,538,OKE,1.62,1.32,3.55%,-1.95%,-3.07%,-14.84%,20.69%,54.88,60.95,-0.26%,-0.41%,0.15%,7630644
538,539,OKTA,1.04,3.27,-4.01%,-1.26%,10.23%,-31.72%,71.69%,47.77,75.75,-0.56%,-1.59%,1.04%,3921285
539,540,OMC,0.86,1.83,2.86%,3.02%,15.31%,-1.68%,55.19%,59.22,95.15,-0.47%,-0.32%,-0.15%,2585462
540,541,ON,1.72,3.17,3.67%,10.85%,22.78%,-3.52%,101.41%,58.97,90.15,-0.93%,-1.79%,0.87%,28115614
541,542,ORAN,0.23,0.16,-4.11%,-8.38%,4.57%,-13.76%,28.04%,30.95,11.28,-0.79%,-0.88%,0.09%,2272107
542,543,ORCL,1.03,3.27,16.51%,24.82%,47.21%,-1.63%,106.42%,84.33,125.46,-0.86%,-1.21%,0.36%,19438215
543,544,ORLY,0.87,18.2,0.47%,0.48%,11.13%,-4.72%,58.45%,52.12,919.02,-0.91%,-2.27%,1.39%,885195
544,545,OTEX,1.06,0.9,-0.70%,3.48%,24.29%,-4.07%,66.56%,51.33,41.49,-1.07%,-1.17%,0.10%,773874
545,546,OTIS,-,1.57,5.11%,5.92%,12.74%,-0.12%,41.81%,64.82,88.62,0.09%,-0.38%,0.47%,3052289
546,547,OWL,-,0.37,8.60%,8.56%,4.74%,-17.74%,43.39%,63.33,11.55,-1.45%,-1.20%,-0.26%,3237196
547,548,OXY,1.78,1.24,-1.45%,-3.56%,-8.94%,-24.61%,7.08%,42.05,58.15,-0.46%,-0.94%,0.48%,13715211
548,549,PAG,1.23,4.45,5.25%,8.10%,21.52%,-2.38%,62.68%,60.31,153.72,-1.80%,-2.16%,0.37%,394729
549,550,PANW,1.18,6.68,14.67%,22.87%,40.51%,0.68%,86.45%,77.22,246.53,1.12%,-0.31%,1.44%,54804402
550,551,PARA,1.68,0.8,4.18%,-11.39%,-17.71%,-40.78%,17.97%,47.53,16.28,-1.51%,-2.16%,0.67%,12996149
551,552,PATH,-,1.07,4.67%,14.17%,26.09%,-18.83%,74.10%,56.96,18.1,-3.47%,-1.90%,-1.60%,14361977
552,553,PAYC,1.43,9.2,8.06%,9.94%,3.00%,-20.57%,25.06%,67.12,319.92,-1.24%,-2.25%,1.03%,671869
553,554,PAYX,0.97,2.06,3.32%,4.25%,-0.61%,-18.56%,9.13%,60.48,113.59,0.25%,-0.19%,0.44%,3842225
554,555,PBA,-,0.6,-0.17%,-2.73%,-6.20%,-18.44%,5.54%,46.16,31.23,0.42%,0.06%,0.35%,763399
555,556,PBR,1.45,0.42,13.12%,19.99%,21.08%,-11.62%,59.61%,72.58,13.9,0.80%,1.53%,-0.73%,15216152
556,557,PBR-A,-,0.4,12.42%,19.32%,21.28%,-13.66%,60.80%,69.16,12.37,0.49%,1.81%,-1.30%,15659513
557,558,PCAR,0.95,1.68,6.67%,7.88%,16.21%,-1.89%,57.47%,66.17,78.63,-0.57%,-1.02%,0.46%,3943723
558,559,PCG,1.13,0.33,3.73%,2.74%,12.07%,-1.58%,80.50%,63.59,17.4,0.87%,0.00%,0.87%,21673674
559,560,PCGU,-,1.97,3.36%,2.05%,9.54%,-1.50%,61.12%,62.81,150.65,0.41%,-0.13%,0.55%,50940
560,561,PCTY,1.09,6.22,2.72%,1.13%,-9.62%,-33.19%,21.69%,52.9,184.98,-2.52%,-3.57%,1.09%,585530
561,562,PDD,0.78,3.91,15.05%,17.74%,6.12%,-24.92%,105.85%,66.79,79.87,-1.18%,-2.26%,1.11%,12500401
562,563,PEAK,0.88,0.46,1.52%,-1.04%,-12.69%,-27.30%,8.30%,49.86,20.67,-0.43%,-0.86%,0.43%,7153600
563,564,PEG,0.59,0.93,2.12%,0.01%,3.03%,-10.58%,19.10%,57.12,62.54,0.45%,-0.03%,0.48%,5330707
564,565,PEN,0.53,7.89,6.10%,11.57%,40.24%,-1.55%,193.71%,69.79,337.37,-0.27%,-0.99%,0.73%,558848
565,566,PEP,0.55,2.38,1.08%,-0.53%,4.26%,-5.51%,19.94%,53.59,186.04,0.18%,-0.18%,0.36%,8912369
566,567,PFE,0.63,0.81,4.00%,2.55%,-8.74%,-27.07%,10.75%,59.5,40.06,0.78%,0.50%,0.28%,60290730
567,568,PFG,1.30,1.85,6.97%,4.32%,-7.25%,-22.24%,22.49%,62.67,74.78,0.92%,-0.43%,1.35%,3110138
568,569,PG,0.40,2.1,2.10%,-0.96%,4.28%,-5.42%,22.39%,55.29,149.54,0.73%,0.07%,0.67%,11229476
569,570,PGR,0.49,2.63,-0.47%,-3.09%,-1.43%,-13.26%,19.65%,46.97,129.99,1.27%,0.72%,0.55%,3352610
570,571,PH,1.51,8.77,7.71%,11.52%,19.50%,-1.48%,60.17%,66.9,369.1,-1.32%,-1.76%,0.45%,1037095
571,572,PHG,0.93,0.38,3.89%,5.19%,26.74%,-4.56%,81.46%,61.04,20.41,-0.39%,-1.16%,0.78%,972932
572,573,PHM,1.35,1.51,5.74%,10.68%,42.00%,-1.37%,109.83%,68.52,73.51,-0.61%,-0.10%,-0.51%,5781284
573,574,PINS,0.98,0.82,6.00%,3.39%,2.73%,-13.36%,51.18%,62.81,25.36,1.60%,1.52%,0.08%,12959099
574,575,PKG,0.90,2.77,2.69%,-1.07%,1.00%,-9.47%,19.78%,54.92,132.42,-0.18%,-0.47%,0.29%,1737723
575,576,PKX,1.22,1.27,5.21%,5.15%,30.12%,-5.06%,107.99%,63.75,75.98,-0.61%,-0.90%,0.29%,439110
576,577,PLD,0.99,2.78,-0.58%,-0.70%,3.51%,-11.69%,25.09%,48.43,122.63,0.75%,-0.22%,0.97%,5830935
577,578,PLTR,-,1.01,14.43%,51.28%,92.35%,-5.01%,179.11%,75.3,16.3,-1.81%,-3.26%,1.51%,90235561
578,579,PM,0.72,1.39,3.12%,-0.44%,-1.32%,-10.16%,14.53%,59.11,94.89,0.17%,0.15%,0.02%,9474971
579,580,PNC,1.12,3.57,4.31%,5.68%,-12.09%,-27.15%,16.46%,59.87,128.47,-0.25%,-0.70%,0.46%,3460613
580,581,PNR,1.13,1.34,3.64%,6.96%,21.85%,-0.63%,57.74%,61.28,60.81,-0.33%,-0.65%,0.33%,1593838
581,582,PODD,0.79,7.53,-0.17%,-6.95%,-0.96%,-15.30%,47.92%,43.22,284.5,-0.92%,-1.64%,0.73%,727495
582,583,POOL,0.96,10.22,7.28%,5.76%,6.55%,-15.57%,28.71%,63.09,357.95,0.12%,-0.70%,0.83%,556376
583,584,PPG,1.18,2.74,3.46%,3.01%,11.37%,-1.67%,33.64%,60.11,143.08,1.28%,0.36%,0.92%,2673810
584,585,PPL,0.80,0.41,1.29%,-2.84%,-3.44%,-14.97%,15.02%,48.45,26.99,-0.07%,-0.52%,0.44%,8309809
585,586,PRU,1.39,1.99,5.08%,4.54%,-7.22%,-21.57%,15.47%,62.13,87.03,0.31%,0.25%,0.06%,3973720
586,587,PSA,0.46,6.16,0.46%,-1.52%,-2.80%,-19.61%,6.28%,49.2,287.1,-0.19%,-0.41%,0.23%,1798441
587,588,PSTG,1.28,1.13,20.94%,40.66%,35.99%,0.17%,70.46%,85.24,37.74,0.37%,-0.63%,1.01%,5880773
588,589,PSX,1.37,2.57,1.05%,-0.75%,-1.72%,-14.45%,31.22%,51.61,97.13,0.11%,-0.41%,0.53%,4962188
589,590,PTC,1.19,2.58,5.07%,9.40%,15.37%,-0.66%,46.12%,69.77,143.15,-0.31%,-0.98%,0.68%,1514625
590,591,PUK,1.35,0.68,1.96%,0.32%,9.28%,-15.94%,58.69%,52.8,28.89,-1.06%,-0.41%,-0.65%,289563
591,592,PWR,1.06,3.49,4.42%,8.27%,21.71%,-0.35%,64.76%,67.59,185.95,0.08%,-0.51%,0.60%,1751534
592,593,PXD,1.44,5.14,1.02%,-1.68%,-5.29%,-20.80%,17.86%,52.45,206.8,1.73%,0.80%,0.91%,4239170
593,594,PYPL,1.31,1.89,5.64%,-2.48%,-14.23%,-35.52%,12.69%,56.13,66.43,0.88%,0.76%,0.12%,29672744
594,595,QCOM,1.26,3.34,7.93%,7.60%,2.61%,-21.69%,20.90%,63.97,122.68,-0.75%,-1.53%,0.79%,12886685
595,596,QGEN,0.38,0.64,2.46%,2.78%,0.79%,-8.64%,15.80%,59.44,46.76,0.39%,-0.06%,0.45%,723331
596,597,QRVO,1.43,2.8,4.72%,8.16%,8.52%,-10.44%,36.14%,63.83,102.62,0.11%,-1.47%,1.60%,3467042
597,598,QSR,0.99,1.4,3.08%,6.71%,17.92%,-1.46%,63.73%,64.17,76.43,-0.09%,-0.39%,0.30%,732681
598,599,RACE,-,4.24,4.26%,6.95%,27.81%,0.42%,78.33%,68.34,308.02,0.62%,-0.22%,0.85%,294920
599,600,RBA,0.90,1.29,3.47%,1.73%,-1.53%,-19.86%,19.63%,58.62,57.09,0.07%,-0.26%,0.33%,12523543
600,601,RBLX,-,1.8,4.06%,4.68%,10.42%,-22.42%,75.04%,57.96,41.8,2.88%,2.08%,0.79%,15243676
601,602,RCI,0.53,0.78,-2.57%,-7.07%,-2.67%,-12.34%,21.36%,36.01,43.97,-0.52%,-0.72%,0.20%,479517
602,603,RCL,2.45,2.57,11.17%,27.36%,54.87%,-1.37%,206.53%,77.9,95.3,-0.64%,-1.29%,0.67%,3901028
603,604,RE,0.60,8.26,0.33%,-3.31%,5.04%,-10.80%,44.07%,48.88,352.35,2.35%,1.74%,0.60%,587120
604,605,REG,1.17,1.16,4.67%,3.10%,0.27%,-10.82%,17.64%,61.58,61.14,0.49%,-0.31%,0.81%,1101866
605,606,REGN,0.24,13.08,4.84%,1.37%,5.14%,-6.51%,43.17%,63.32,783.05,-0.00%,-0.64%,0.64%,993137
606,607,RELX,0.83,0.42,7.72%,6.46%,17.35%,0.44%,45.53%,76.05,34.04,1.64%,0.35%,1.28%,2030391
607,608,REXR,0.84,1.34,0.36%,-2.14%,-5.16%,-21.78%,10.22%,49.31,53.72,-0.09%,-0.67%,0.58%,4014994
608,609,RF,1.20,0.62,1.50%,2.71%,-12.22%,-25.52%,29.99%,53.3,18.12,-1.09%,-1.47%,0.38%,17517692
609,610,RIO,0.73,1.42,7.71%,5.42%,3.43%,-16.10%,32.67%,63.63,67.55,-1.17%,-0.75%,-0.42%,3722183
610,611,RIVN,-,0.92,3.33%,8.13%,-32.82%,-63.58%,27.40%,56.2,14.88,-2.36%,-2.75%,0.39%,92074575
611,612,RJF,1.04,2.18,6.90%,9.45%,-3.78%,-20.56%,22.06%,67.9,100.09,-0.08%,-0.76%,0.69%,2048186
612,613,RKT,-,0.32,9.03%,6.48%,13.88%,-19.21%,53.94%,64.42,9.19,-1.50%,-0.97%,-0.54%,2835054
613,614,RMD,0.48,4.25,0.43%,-2.36%,-0.60%,-11.55%,12.73%,48.56,219.04,0.03%,-0.70%,0.73%,734121
614,615,ROK,1.44,7.23,8.13%,11.70%,17.93%,-1.22%,66.14%,69.32,315.8,-1.13%,-1.72%,0.60%,1431118
615,616,ROKU,1.75,3.37,13.72%,18.34%,22.39%,-30.30%,84.76%,67.67,70.69,-1.48%,-2.47%,1.02%,5787356
616,617,ROL,0.67,0.63,1.33%,1.34%,8.18%,-4.58%,30.73%,53.97,41.09,-1.32%,-1.34%,0.02%,2399819
617,618,ROP,1.02,6.56,1.13%,1.75%,7.81%,-1.10%,28.79%,56.68,458.78,-0.51%,-1.00%,0.49%,1014913
618,619,ROST,0.98,2.17,3.84%,3.38%,3.45%,-11.93%,55.75%,62.5,107.84,-0.04%,-0.71%,0.68%,3476998
619,620,RPM,0.94,1.53,4.23%,4.56%,-4.58%,-19.98%,14.30%,65.34,85.22,0.29%,-0.23%,0.53%,957677
620,621,RPRX,-,0.76,-3.39%,-7.34%,-16.92%,-28.57%,-0.19%,35.72,31.9,-0.93%,-1.05%,0.12%,4651436
621,622,RRX,1.09,4.01,9.30%,13.64%,10.37%,-7.15%,39.67%,68.25,151.24,-0.49%,-0.74%,0.24%,561306
622,623,RS,0.88,6.21,4.91%,4.63%,16.25%,-3.16%,59.75%,60.91,256.07,0.07%,0.20%,-0.14%,809344
623,624,RSG,0.66,1.84,1.79%,2.48%,7.97%,-2.39%,21.73%,61.03,145.73,0.82%,0.23%,0.58%,1515007
624,625,RTO,0.89,0.46,1.39%,3.66%,23.37%,-1.14%,63.58%,60.29,40.65,-0.02%,-1.41%,1.40%,839858
625,626,RTX,1.06,1.65,1.74%,-0.21%,2.38%,-6.83%,21.76%,52.85,97.74,-0.27%,-0.47%,0.20%,9029088
626,627,RVTY,1.09,2.72,2.95%,-3.64%,-8.57%,-29.85%,7.68%,54.34,119.26,1.35%,0.31%,1.04%,1309272
627,628,RY,0.81,1.4,3.38%,-0.13%,-0.70%,-8.85%,14.13%,58.55,95.45,0.23%,0.10%,0.13%,757883
628,629,RYAAY,1.44,2.18,2.10%,8.12%,27.43%,-0.93%,93.01%,62.26,107.89,0.87%,1.07%,-0.20%,406703
629,630,RYAN,-,0.84,2.04%,2.59%,4.19%,-7.39%,33.74%,57.9,42.97,0.54%,-0.05%,0.58%,747175
630,631,SAN,1.08,0.07,2.51%,-1.22%,10.20%,-14.67%,54.42%,54.01,3.49,-0.29%,0.00%,-0.29%,7201905
631,632,SAP,1.19,1.9,3.61%,4.05%,22.83%,-0.03%,75.50%,66.47,137.28,0.18%,-1.22%,1.42%,983343
632,633,SBAC,0.52,6.06,1.49%,-4.39%,-15.05%,-35.34%,5.47%,48.98,230.57,-1.44%,-2.04%,0.61%,1017989
633,634,SBUX,0.94,1.71,1.98%,-2.59%,2.67%,-11.79%,44.80%,52.41,101.87,0.48%,-0.14%,0.62%,11700812
634,635,SCCO,1.26,2.02,6.90%,0.96%,15.29%,-9.27%,75.48%,59.6,74.44,0.38%,0.58%,-0.20%,1610628
635,636,SCHW,0.88,1.57,1.21%,4.66%,-21.12%,-37.20%,20.89%,53.92,54.4,-2.00%,-2.67%,0.68%,19332186
636,637,SCI,0.79,1.24,2.42%,-1.35%,-0.91%,-11.86%,16.46%,53.95,66.21,-0.05%,-0.33%,0.29%,1946576
637,638,SE,1.67,2.92,-1.00%,-15.16%,-3.13%,-33.75%,52.66%,40.05,62.08,-1.26%,-2.19%,0.95%,4705731
638,639,SEDG,1.38,12.04,-4.45%,-5.44%,-3.53%,-26.39%,45.52%,41.75,276.7,-0.27%,-1.64%,1.38%,1054118
639,640,SGEN,0.51,2.34,1.59%,-0.31%,24.88%,-4.27%,70.85%,57.11,198.32,0.39%,0.15%,0.24%,1570596
640,641,SHEL,0.67,1.17,2.85%,0.60%,5.57%,-3.82%,34.41%,56.61,60.35,-0.54%,-0.45%,-0.10%,6410215
641,642,SHG,0.87,0.41,1.51%,2.60%,-1.65%,-25.41%,18.93%,54.48,27.33,-0.73%,-0.44%,-0.29%,96377
642,643,SHOP,2.03,2.98,6.64%,16.80%,53.08%,-2.78%,173.84%,60.7,64.71,-2.10%,-3.42%,1.36%,13535781
643,644,SHW,1.08,4.78,4.77%,6.68%,7.86%,-6.68%,26.97%,66.0,247.89,-0.63%,-1.13%,0.50%,2243733
644,645,SIRI,0.95,0.14,7.46%,5.74%,-22.46%,-42.48%,18.67%,62.05,3.94,2.87%,0.77%,2.09%,57935776
645,646,SJM,0.23,3.03,2.52%,0.16%,2.17%,-6.11%,27.04%,55.23,153.1,0.14%,0.05%,0.09%,1064623
646,647,SLB,1.79,1.5,3.49%,0.56%,-2.21%,-19.63%,55.89%,55.04,47.78,-0.25%,-0.54%,0.29%,14733232
647,648,SLF,1.00,0.69,2.25%,4.26%,9.53%,-1.39%,34.11%,63.36,50.91,0.10%,-0.18%,0.28%,414746
648,649,SMCI,1.18,15.59,5.68%,46.35%,132.16%,-14.59%,523.53%,61.23,230.77,-5.39%,-5.81%,0.44%,3029255
649,650,SMFG,0.71,0.13,0.93%,0.21%,10.80%,-10.00%,53.39%,50.87,8.26,-1.31%,-0.60%,-0.72%,2066410
650,651,SNA,1.10,4.58,4.45%,7.10%,15.12%,-0.33%,44.08%,66.06,273.87,-0.15%,-0.41%,0.27%,481886
651,652,SNAP,1.19,0.42,5.33%,9.01%,4.67%,-35.45%,45.70%,64.42,10.68,0.19%,-1.02%,1.22%,28822677
652,653,SNN,0.62,0.5,5.25%,4.02%,16.94%,-2.80%,47.69%,65.82,32.16,0.50%,-0.06%,0.56%,2029472
653,654,SNOW,-,9.23,6.72%,15.16%,18.32%,-10.44%,61.92%,58.91,184.18,-3.56%,-3.86%,0.31%,6579936
654,655,SNPS,1.14,11.03,1.36%,10.76%,26.13%,-5.73%,65.24%,60.33,441.19,-1.16%,-1.68%,0.53%,1889110
655,656,SNY,0.56,0.81,0.15%,-3.43%,9.60%,-10.00%,40.99%,48.95,52.04,0.48%,-0.95%,1.45%,1142213
656,657,SO,0.51,1.12,2.01%,-0.34%,3.38%,-10.93%,21.94%,56.5,71.76,1.41%,1.59%,-0.17%,9344807
657,658,SONY,1.07,1.75,0.13%,3.64%,17.37%,-3.34%,58.09%,52.7,97.57,-2.11%,-0.92%,-1.19%,777968
658,659,SPG,1.53,2.51,5.56%,4.22%,1.21%,-15.25%,31.12%,62.11,112.79,1.69%,0.49%,1.19%,3045164
659,660,SPGI,1.12,6.72,5.64%,9.54%,14.27%,-1.51%,41.49%,70.06,395.21,-1.19%,-1.65%,0.47%,1881802
660,661,SPLK,1.29,3.84,7.84%,15.96%,20.70%,-7.55%,66.18%,67.72,108.02,-2.23%,-2.47%,0.24%,2884860
661,662,SPOT,1.74,4.63,6.36%,12.18%,46.31%,1.82%,130.92%,68.63,159.99,5.13%,4.36%,0.74%,3530028
662,663,SQ,2.32,2.51,6.41%,7.63%,0.55%,-28.63%,29.55%,61.21,66.51,0.48%,0.00%,0.48%,12225184
663,664,SQM,1.00,2.49,3.82%,1.96%,-16.11%,-37.64%,19.85%,55.28,72.16,0.22%,-0.33%,0.56%,1638035
664,665,SRE,0.74,2.38,1.53%,-1.86%,-4.17%,-16.02%,8.54%,51.4,148.2,-0.26%,-0.64%,0.38%,2258696
665,666,SRPT,1.01,4.5,-0.98%,-0.40%,5.66%,-18.42%,112.86%,49.79,130.44,-0.89%,-1.74%,0.87%,1550736
666,667,SSNC,1.43,1.07,6.48%,6.74%,10.16%,-6.82%,32.86%,70.01,60.12,-0.13%,-0.36%,0.23%,2023954
667,668,STE,0.85,4.03,4.00%,8.21%,13.45%,-6.05%,34.17%,70.56,213.61,0.04%,-0.32%,0.36%,1057938
668,669,STLA,-,0.33,7.27%,3.92%,12.52%,-8.57%,52.51%,65.54,17.34,1.05%,-0.12%,1.17%,4579144
669,670,STLD,1.51,3.72,4.46%,1.61%,1.05%,-24.86%,64.21%,54.33,102.53,-3.24%,-0.90%,-2.36%,7401493
670,671,STM,1.59,1.2,9.58%,9.26%,20.37%,-6.61%,76.33%,69.31,49.99,0.28%,0.06%,0.22%,5019370
671,672,STT,1.59,2.0,3.99%,2.96%,-2.65%,-22.13%,25.86%,57.03,73.77,-1.18%,-1.34%,0.16%,7079859
672,673,STX,1.13,1.94,3.90%,5.88%,8.12%,-23.25%,35.45%,58.3,64.3,-2.78%,-3.28%,0.51%,4022708
673,674,STZ,1.02,3.79,2.33%,5.95%,5.88%,-5.85%,18.22%,62.23,246.03,-1.27%,-1.58%,0.32%,1503044
674,675,SU,1.30,0.76,3.02%,0.65%,-5.05%,-21.02%,14.06%,55.64,30.14,-0.33%,-0.69%,0.36%,4200323
675,676,SUI,0.72,2.91,3.61%,0.43%,-4.00%,-21.76%,14.66%,57.19,134.87,0.72%,0.46%,0.25%,1109954
676,677,SUZ,-,0.26,8.22%,16.25%,10.29%,-9.74%,34.18%,72.34,10.01,0.10%,0.81%,-0.70%,5564275
677,678,SWAV,0.98,11.88,3.45%,6.22%,20.65%,-8.16%,90.59%,60.6,294.37,-0.60%,-2.55%,2.00%,557938
678,679,SWK,1.35,2.96,10.41%,11.70%,11.51%,-23.21%,29.41%,66.35,90.9,-0.63%,-0.88%,0.25%,2677182
679,680,SWKS,1.26,2.89,4.67%,4.22%,8.04%,-11.67%,43.46%,60.58,109.26,-0.28%,-1.63%,1.37%,3652068
