,No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
541,542,ORAN,-0.62%,-8.96%,-0.35%,14.40%,-0.70%,14.17%,0.90%,0.87%,4.00,396.93K,5.72,11.28,-0.79%,2272107
542,543,ORCL,14.21%,25.75%,47.15%,53.34%,80.00%,53.49%,4.42%,2.77%,2.50,9.39M,2.07,125.46,-0.86%,19438215
543,544,ORLY,1.33%,-2.17%,15.18%,12.83%,53.42%,8.88%,1.79%,2.09%,2.20,417.29K,2.12,919.02,-0.91%,885195
544,545,OTEX,-1.40%,1.52%,13.11%,40.98%,9.33%,39.98%,2.09%,2.09%,2.30,569.43K,1.36,41.49,-1.07%,773874
545,546,OTIS,3.46%,5.81%,10.72%,10.43%,27.04%,13.17%,1.52%,1.82%,2.50,1.88M,1.63,88.62,0.09%,3052289
546,547,OWL,3.03%,14.02%,12.90%,-1.11%,9.07%,8.96%,2.86%,3.21%,1.90,3.38M,0.96,11.55,-1.45%,3237196
547,548,OXY,-1.97%,-1.31%,-0.56%,-8.68%,-3.53%,-7.68%,1.84%,1.89%,2.50,11.77M,1.17,58.15,-0.46%,13715211
548,549,PAG,2.58%,9.30%,18.16%,24.73%,34.79%,33.75%,2.89%,2.98%,2.60,308.20K,1.28,153.72,-1.80%,394729
549,550,PANW,12.01%,28.72%,30.36%,53.86%,51.86%,76.67%,3.05%,3.13%,1.80,4.29M,12.77,246.53,1.12%,54804402
550,551,PARA,1.12%,4.56%,-17.36%,-15.91%,-36.53%,-3.55%,3.56%,4.44%,3.10,14.96M,0.87,16.28,-1.51%,12996149
551,552,PATH,5.42%,19.71%,6.16%,38.27%,-5.43%,42.41%,4.83%,6.57%,2.50,9.64M,1.49,18.1,-3.47%,14361977
552,553,PAYC,5.00%,17.27%,15.52%,-2.38%,16.84%,3.10%,2.95%,2.86%,1.90,550.33K,1.22,319.92,-1.24%,671869
553,554,PAYX,1.70%,5.85%,5.64%,-7.40%,-3.70%,-1.70%,1.76%,1.92%,3.00,2.28M,1.68,113.59,0.25%,3842225
554,555,PBA,-1.48%,-0.32%,2.66%,-9.11%,-17.27%,-8.01%,1.53%,1.66%,2.20,740.43K,1.03,31.23,0.42%,763399
555,556,PBR,3.00%,20.62%,41.87%,55.07%,14.28%,33.08%,3.05%,2.58%,2.60,21.51M,0.71,13.9,0.80%,15216152
556,557,PBR-A,1.60%,20.83%,43.13%,55.84%,13.42%,36.05%,3.39%,2.68%,2.70,9.36M,1.67,12.37,0.49%,15659513
557,558,PCAR,2.34%,9.93%,14.47%,17.99%,41.23%,19.17%,2.18%,2.18%,2.80,2.80M,1.41,78.63,-0.57%,3943723
558,559,PCG,3.08%,3.57%,8.07%,6.10%,69.26%,7.01%,1.31%,1.97%,2.10,16.02M,1.35,17.4,0.87%,21673674
559,560,PCGU,2.77%,3.47%,6.89%,3.79%,53.49%,4.44%,0.90%,1.31%,-,43.91K,1.16,150.65,0.41%,50940
560,561,PCTY,1.39%,8.31%,2.48%,-11.86%,12.57%,-4.78%,3.29%,2.99%,1.9,486.51K,1.2,184.98,-2.52%,585530
561,562,PDD,4.95%,20.20%,-13.13%,-11.27%,32.70%,-2.06%,4.36%,5.29%,1.6,10.11M,1.24,79.87,-1.18%,12500401
562,563,PEAK,-0.10%,1.27%,-0.34%,-18.91%,-14.63%,-17.55%,1.91%,2.29%,2.1,4.69M,1.53,20.67,-0.43%,7153600
563,564,PEG,0.76%,1.64%,6.85%,2.22%,3.34%,2.07%,1.19%,1.48%,2.3,2.49M,2.14,62.54,0.45%,5330707
564,565,PEN,4.42%,7.52%,28.28%,49.96%,176.28%,51.65%,2.14%,2.43%,1.7,346.47K,1.61,337.37,-0.27%,558848
565,566,PEP,2.02%,-3.13%,6.23%,1.46%,17.90%,2.98%,1.08%,1.32%,2.4,4.28M,2.08,186.04,0.18%,8912369
566,567,PFE,2.80%,9.01%,-0.10%,-26.47%,-17.42%,-21.82%,2.08%,2.45%,2.4,24.38M,2.47,40.06,0.78%,60290730
567,568,PFG,4.75%,7.77%,6.84%,-15.19%,15.12%,-10.89%,2.75%,2.38%,3.5,1.76M,1.77,74.78,0.92%,3110138
568,569,PG,2.03%,-3.57%,4.62%,-2.16%,12.85%,-1.33%,1.31%,1.37%,2.3,6.10M,1.84,149.54,0.73%,11229476
569,570,PGR,-0.70%,-4.84%,-4.64%,2.69%,15.47%,0.22%,1.63%,1.65%,2.6,2.96M,1.13,129.99,1.27%,3352610
570,571,PH,3.64%,11.54%,21.05%,24.28%,44.86%,26.84%,2.29%,2.48%,2.2,902.52K,1.15,369.1,-1.32%,1037095
571,572,PHG,4.45%,-1.59%,29.93%,45.94%,-5.70%,42.24%,1.53%,1.28%,3.7,1.35M,0.72,20.41,-0.39%,972932
572,573,PHM,2.11%,5.77%,32.64%,58.67%,86.43%,61.45%,2.11%,2.11%,2.1,2.93M,1.98,73.51,-0.61%,5781284
573,574,PINS,6.24%,15.54%,-3.83%,-3.28%,32.98%,4.45%,2.79%,3.31%,2.6,11.30M,1.15,25.36,1.60%,12959099
574,575,PKG,1.24%,2.68%,4.01%,-2.15%,-10.06%,3.53%,2.09%,1.97%,3.1,702.69K,2.47,132.42,-0.18%,1737723
575,576,PKX,-0.09%,9.18%,24.93%,39.85%,48.63%,39.49%,1.04%,1.06%,1.0,291.75K,1.51,75.98,-0.61%,439110
576,577,PLD,1.09%,-0.06%,5.69%,0.86%,6.55%,8.78%,2.02%,2.18%,1.8,3.13M,1.86,122.63,0.75%,5830935
577,578,PLTR,8.52%,59.02%,106.85%,121.77%,100.74%,153.89%,6.15%,8.02%,3.3,63.52M,1.42,16.3,-1.81%,90235561
578,579,PM,2.48%,1.50%,0.11%,-7.39%,-3.38%,-6.24%,1.29%,1.34%,2.1,4.50M,2.11,94.89,0.17%,9474971
579,580,PNC,-0.36%,7.73%,3.84%,-14.14%,-17.92%,-18.66%,2.69%,2.72%,2.5,4.00M,0.87,128.47,-0.25%,3460613
580,581,PNR,2.77%,2.96%,19.42%,32.66%,32.11%,35.19%,1.91%,2.23%,2.5,1.30M,1.22,60.81,-0.33%,1593838
581,582,PODD,0.50%,-9.15%,-7.96%,-8.77%,39.26%,-3.36%,2.31%,2.80%,2.2,595.68K,1.22,284.5,-0.92%,727495
582,583,POOL,9.66%,4.27%,4.72%,6.91%,1.17%,18.40%,2.91%,3.06%,2.2,409.65K,1.36,357.95,0.12%,556376
583,584,PPG,2.44%,0.47%,16.81%,7.77%,25.93%,13.79%,1.63%,1.89%,2.4,1.41M,1.89,143.08,1.28%,2673810
584,585,PPL,0.63%,-2.21%,0.60%,-8.26%,2.74%,-7.63%,1.26%,1.50%,2.1,5.11M,1.63,26.99,-0.07%,8309809
585,586,PRU,2.93%,7.34%,11.55%,-14.73%,-8.24%,-12.50%,2.21%,2.23%,3.1,2.59M,1.54,87.03,0.31%,3973720
586,587,PSA,0.09%,0.03%,-2.90%,-4.36%,-1.78%,2.47%,2.21%,2.11%,2.0,1.01M,1.78,287.1,-0.19%,1798441
587,588,PSTG,6.70%,56.92%,56.92%,23.13%,46.96%,41.03%,2.39%,3.85%,2.0,4.97M,1.18,37.74,0.37%,5880773
588,589,PSX,-1.65%,2.47%,2.54%,-4.10%,-5.13%,-6.68%,2.32%,2.36%,2.3,3.57M,1.39,97.13,0.11%,4962188
589,590,PTC,3.31%,8.76%,20.59%,12.45%,38.42%,19.25%,1.58%,1.81%,2.0,716.96K,2.11,143.15,-0.31%,1514625
590,591,PUK,2.59%,-0.55%,18.06%,7.48%,17.92%,5.13%,1.54%,1.50%,1.0,510.84K,0.57,28.89,-1.06%,289563
591,592,PWR,1.71%,9.54%,19.89%,22.26%,49.81%,30.49%,1.56%,2.05%,2.0,812.80K,2.15,185.95,0.08%,1751534
592,593,PXD,0.98%,2.43%,14.76%,-5.17%,-13.12%,-6.53%,2.33%,2.25%,2.4,2.23M,1.9,206.8,1.73%,4239170
593,594,PYPL,4.63%,8.09%,-8.99%,-8.54%,-12.40%,-6.73%,3.11%,2.71%,2.1,15.85M,1.87,66.43,0.88%,29672744
594,595,QCOM,3.00%,17.05%,1.62%,0.80%,-6.37%,11.59%,2.41%,2.72%,2.1,8.01M,1.61,122.68,-0.75%,12886685
595,596,QGEN,3.25%,4.03%,1.39%,-6.03%,6.18%,-6.24%,1.03%,1.15%,2.5,856.69K,0.84,46.76,0.39%,723331
596,597,QRVO,4.33%,10.96%,6.18%,1.66%,4.16%,13.22%,2.12%,2.87%,2.9,1.21M,2.87,102.62,0.11%,3467042
597,598,QSR,1.69%,4.74%,25.46%,13.55%,57.07%,18.18%,1.52%,1.92%,2.5,1.14M,0.64,76.43,-0.09%,732681
598,599,RACE,3.43%,5.01%,18.83%,36.79%,74.15%,43.79%,1.03%,1.13%,2.3,339.38K,0.87,308.02,0.62%,294920
599,600,RBA,3.29%,10.11%,10.30%,2.12%,-4.49%,0.78%,1.55%,2.41%,1.9,2.15M,5.84,57.09,0.07%,12523543
600,601,RBLX,8.04%,-0.07%,-4.33%,26.17%,44.64%,46.87%,4.00%,4.37%,2.6,9.35M,1.63,41.8,2.88%,15243676
601,602,RCI,1.99%,-10.30%,-1.74%,-2.85%,-5.05%,-6.13%,1.44%,1.74%,2.2,326.52K,1.47,43.97,-0.52%,479517
602,603,RCL,4.47%,19.74%,54.01%,72.40%,140.11%,92.80%,3.08%,2.65%,2.0,3.68M,1.06,95.3,-0.64%,3901028
603,604,RE,2.25%,-4.51%,5.44%,8.29%,28.01%,6.36%,2.19%,2.55%,1.9,374.14K,1.57,352.35,2.35%,587120
604,605,REG,0.87%,4.01%,7.93%,-6.70%,4.94%,-2.18%,1.46%,2.01%,2.3,892.43K,1.23,61.14,0.49%,1101866
605,606,REGN,4.89%,4.46%,4.73%,4.41%,39.53%,8.53%,1.69%,1.65%,2.1,566.47K,1.75,783.05,-0.00%,993137
606,607,RELX,6.71%,10.38%,10.95%,17.66%,32.30%,22.80%,0.82%,0.84%,2.0,755.50K,2.69,34.04,1.64%,2030391
607,608,REXR,4.55%,-1.05%,-6.53%,-4.72%,-10.21%,-1.68%,2.68%,2.27%,1.9,1.75M,2.3,53.72,-0.09%,4014994
608,609,RF,-1.89%,7.47%,1.29%,-14.20%,-6.50%,-15.96%,3.62%,3.25%,2.3,12.04M,1.45,18.12,-1.09%,17517692
609,610,RIO,4.62%,7.84%,4.45%,-4.48%,-2.83%,-5.13%,1.37%,1.36%,1.7,3.51M,1.06,67.55,-1.17%,3722183
610,611,RIVN,7.28%,10.96%,14.37%,-39.36%,-48.83%,-19.26%,8.22%,6.32%,2.3,24.32M,3.79,14.88,-2.36%,92074575
611,612,RJF,4.61%,14.62%,13.71%,-9.24%,13.76%,-6.33%,2.01%,2.19%,2.2,1.48M,1.39,100.09,-0.08%,2048186
612,613,RKT,2.68%,12.62%,6.12%,12.21%,31.66%,31.29%,3.28%,3.74%,3.2,1.96M,1.44,9.19,-1.50%,2835054
613,614,RMD,2.58%,-2.20%,5.77%,-0.82%,7.75%,5.24%,1.79%,1.85%,2.2,596.67K,1.23,219.04,0.03%,734121
614,615,ROK,3.37%,14.99%,15.80%,17.32%,53.55%,22.61%,2.43%,2.54%,2.8,739.97K,1.93,315.8,-1.13%,1431118
615,616,ROKU,1.74%,34.49%,10.04%,39.98%,-14.83%,73.69%,4.30%,5.41%,2.7,7.76M,0.75,70.69,-1.48%,5787356
616,617,ROL,0.71%,-1.37%,13.92%,7.76%,25.39%,12.45%,1.66%,1.45%,2.5,1.49M,1.61,41.09,-1.32%,2399819
617,618,ROP,1.54%,0.96%,7.78%,4.56%,19.38%,6.18%,1.43%,1.49%,2.1,555.22K,1.83,458.78,-0.51%,1014913
618,619,ROST,4.41%,3.90%,5.66%,-8.16%,41.89%,-7.09%,1.70%,2.22%,2.0,2.31M,1.5,107.84,-0.04%,3476998
619,620,RPM,2.76%,7.34%,1.04%,-16.17%,9.40%,-12.55%,1.64%,1.74%,2.7,678.26K,1.41,85.22,0.29%,957677
620,621,RPRX,-3.07%,-3.19%,-7.91%,-23.06%,-17.21%,-19.28%,2.43%,2.14%,1.7,2.14M,2.18,31.9,-0.93%,4651436
621,622,RRX,4.07%,19.07%,10.24%,24.46%,27.05%,26.05%,2.54%,2.88%,1.9,423.20K,1.33,151.24,-0.49%,561306
622,623,RS,3.83%,5.11%,6.48%,25.51%,42.44%,26.49%,2.37%,2.43%,2.4,421.76K,1.92,256.07,0.07%,809344
623,624,RSG,1.70%,0.13%,11.47%,7.21%,18.13%,12.98%,1.11%,1.19%,2.2,1.15M,1.31,145.73,0.82%,1515007
624,625,RTO,0.27%,0.05%,23.29%,23.67%,46.28%,31.94%,0.89%,0.92%,1.7,345.50K,2.43,40.65,-0.02%,839858
625,626,RTX,-1.61%,1.21%,2.08%,-2.21%,5.92%,-3.15%,1.79%,1.60%,2.1,4.17M,2.17,97.74,-0.27%,9029088
626,627,RVTY,7.35%,3.45%,-2.69%,-17.01%,-15.06%,-14.95%,2.18%,2.14%,2.4,796.52K,1.64,119.26,1.35%,1309272
627,628,RY,2.82%,-0.23%,3.02%,-0.03%,-2.80%,1.52%,1.22%,1.46%,2.3,814.43K,0.93,95.45,0.23%,757883
628,629,RYAAY,0.41%,2.68%,22.95%,38.82%,51.17%,44.32%,1.64%,2.00%,1.2,370.88K,1.1,107.89,0.87%,406703
629,630,RYAN,1.78%,-2.58%,12.63%,4.55%,21.08%,3.52%,1.48%,2.09%,2.2,672.96K,1.11,42.97,0.54%,747175
630,631,SAN,1.75%,2.05%,6.08%,19.93%,24.20%,18.31%,1.69%,1.59%,3.0,3.76M,1.92,3.49,-0.29%,7201905
631,632,SAP,3.44%,3.51%,15.15%,25.13%,47.14%,33.04%,1.55%,1.17%,2.4,943.80K,1.04,137.28,0.18%,983343
632,633,SBAC,2.88%,-1.72%,-9.93%,-21.68%,-23.50%,-17.74%,2.69%,2.49%,2.1,727.67K,1.4,230.57,-1.44%,1017989
633,634,SBUX,3.99%,-3.61%,3.21%,-0.31%,37.31%,2.69%,1.30%,1.65%,2.5,6.26M,1.87,101.87,0.48%,11700812
634,635,SCCO,4.43%,4.85%,9.29%,21.46%,29.12%,23.27%,1.93%,2.23%,3.5,1.19M,1.36,74.44,0.38%,1610628
635,636,SCHW,-1.09%,4.98%,-3.56%,-29.64%,-11.56%,-34.66%,3.03%,2.49%,2.0,22.85M,0.85,54.4,-2.00%,19332186
636,637,SCI,3.34%,1.25%,1.61%,-4.53%,-0.17%,-4.24%,2.24%,1.77%,1.6,963.31K,2.02,66.21,-0.05%,1946576
637,638,SE,-2.05%,-14.24%,-20.82%,-4.46%,-17.97%,19.32%,3.75%,4.11%,2.0,4.68M,1.01,62.08,-1.26%,4705731
638,639,SEDG,-1.99%,-8.70%,3.55%,-17.55%,0.94%,-2.32%,4.51%,4.02%,2.1,1.06M,1.0,276.7,-0.27%,1054118
639,640,SGEN,0.87%,2.73%,-0.99%,50.19%,34.69%,54.32%,0.93%,1.12%,2.7,1.45M,1.08,198.32,0.39%,1570596
640,641,SHEL,3.29%,-0.72%,11.86%,6.32%,9.81%,5.97%,1.60%,1.43%,1.9,4.93M,1.3,60.35,-0.54%,6410215
641,642,SHG,-1.48%,4.31%,6.80%,-6.02%,-13.68%,-2.15%,0.98%,1.07%,3.0,146.63K,0.66,27.33,-0.73%,96377
642,643,SHOP,5.46%,6.50%,44.83%,69.22%,98.48%,86.43%,4.72%,4.96%,2.6,15.97M,0.85,64.71,-2.10%,13535781
643,644,SHW,2.96%,8.90%,14.07%,-0.32%,8.25%,4.45%,1.82%,2.03%,2.4,1.39M,1.61,247.89,-0.63%,2243733
644,645,SIRI,3.41%,8.54%,8.24%,-35.62%,-34.44%,-32.53%,3.45%,3.56%,3.1,15.70M,3.69,3.94,2.87%,57935776
645,646,SJM,-0.31%,-1.04%,0.80%,-0.69%,22.31%,-3.38%,1.55%,2.12%,3.1,911.74K,1.17,153.1,0.14%,1064623
646,647,SLB,0.53%,7.37%,6.94%,-5.25%,15.08%,-10.62%,2.43%,2.83%,1.8,9.99M,1.47,47.78,-0.25%,14733232
647,648,SLF,0.81%,2.95%,15.47%,9.37%,9.91%,9.67%,1.20%,1.27%,3.0,456.23K,0.91,50.91,0.10%,414746
648,649,SMCI,-11.81%,49.55%,141.64%,156.30%,388.82%,181.08%,7.52%,7.13%,2.7,2.28M,1.33,230.77,-5.39%,3029255
649,650,SMFG,-0.12%,-2.82%,7.83%,20.94%,38.36%,2.99%,1.25%,1.18%,1.0,2.72M,0.76,8.26,-1.31%,2066410
650,651,SNA,2.35%,6.34%,18.18%,17.54%,34.36%,19.86%,1.51%,1.80%,2.9,309.26K,1.56,273.87,-0.15%,481886
651,652,SNAP,5.85%,13.98%,-0.19%,11.95%,-19.09%,19.33%,3.91%,3.89%,2.9,26.72M,1.08,10.68,0.19%,28822677
652,653,SNN,6.91%,-1.05%,13.56%,15.27%,13.28%,19.60%,1.21%,1.21%,2.0,981.47K,2.07,32.16,0.50%,2029472
653,654,SNOW,7.93%,5.84%,35.81%,23.45%,50.30%,28.31%,5.15%,5.47%,2.3,5.95M,1.11,184.18,-3.56%,6579936
654,655,SNPS,0.55%,17.00%,18.43%,32.88%,45.49%,38.18%,2.18%,2.85%,1.7,916.34K,2.06,441.19,-1.16%,1889110
655,656,SNY,1.56%,-3.07%,9.01%,8.53%,6.23%,7.45%,1.10%,1.09%,1.6,1.65M,0.69,52.04,0.48%,1142213
656,657,SO,0.70%,1.16%,5.68%,0.91%,7.80%,0.49%,1.49%,1.50%,2.5,4.33M,2.16,71.76,1.41%,9344807
657,658,SONY,-0.88%,2.36%,12.77%,20.12%,15.69%,27.91%,1.16%,1.15%,1.2,816.95K,0.95,97.57,-2.11%,777968
658,659,SPG,1.89%,6.11%,8.13%,-5.78%,15.68%,-3.99%,2.09%,2.11%,2.3,1.50M,2.03,112.79,1.69%,3045164
659,660,SPGI,2.92%,9.49%,18.15%,11.69%,22.99%,17.99%,1.60%,1.87%,1.7,1.17M,1.6,395.21,-1.19%,1881802
660,661,SPLK,9.23%,15.46%,21.17%,17.93%,18.93%,25.47%,4.12%,4.23%,2.2,1.45M,1.99,108.02,-2.23%,2884860
661,662,SPOT,6.32%,9.58%,25.89%,101.70%,51.87%,102.65%,2.78%,3.09%,2.3,1.50M,2.35,159.99,5.13%,3530028
662,663,SQ,2.42%,15.15%,-10.10%,-6.65%,5.72%,5.84%,3.75%,4.10%,2.2,14.60M,0.84,66.51,0.48%,12225184
663,664,SQM,2.24%,-0.67%,-3.58%,-19.80%,-23.19%,-9.62%,2.99%,3.26%,2.5,2.02M,0.81,72.16,0.22%,1638035
664,665,SRE,0.34%,0.95%,1.97%,-9.50%,2.39%,-4.10%,1.30%,1.57%,2.2,1.30M,1.74,148.2,-0.26%,2258696
665,666,SRPT,2.17%,-12.32%,-12.85%,6.15%,102.14%,0.66%,1.90%,2.85%,1.8,1.57M,0.99,130.44,-0.89%,1550736
666,667,SSNC,6.41%,8.27%,11.60%,14.12%,4.39%,15.48%,1.85%,1.82%,2.1,1.15M,1.75,60.12,-0.13%,2023954
667,668,STE,3.20%,3.78%,20.98%,10.27%,5.60%,15.66%,1.95%,1.80%,2.1,430.98K,2.45,213.61,0.04%,1057938
668,669,STLA,6.77%,7.50%,3.28%,17.88%,28.25%,22.11%,1.19%,1.42%,2.0,4.63M,0.99,17.34,1.05%,4579144
669,670,STLD,3.34%,6.08%,-1.33%,-5.64%,42.30%,4.94%,3.95%,3.21%,3.0,1.76M,4.19,102.53,-3.24%,7401493
670,671,STM,5.84%,14.81%,4.08%,28.18%,42.18%,40.54%,1.87%,2.17%,2.4,3.55M,1.41,49.99,0.28%,5019370
671,672,STT,-0.19%,7.76%,2.79%,-7.66%,15.37%,-4.90%,3.05%,2.52%,2.4,2.81M,2.52,73.77,-1.18%,7079859
672,673,STX,5.60%,5.17%,5.32%,17.44%,-15.66%,22.22%,3.08%,3.02%,2.6,2.43M,1.66,64.3,-2.78%,4022708
673,674,STZ,1.83%,6.64%,16.66%,2.71%,6.70%,6.16%,1.40%,1.50%,2.0,1.15M,1.31,246.03,-1.27%,1503044
674,675,SU,-0.56%,5.27%,4.76%,-3.12%,-22.32%,-5.01%,2.03%,2.30%,2.1,4.78M,0.88,30.14,-0.33%,4200323
675,676,SUI,3.40%,3.25%,0.54%,-7.16%,-12.03%,-5.69%,2.37%,2.26%,1.9,622.37K,1.78,134.87,0.72%,1109954
676,677,SUZ,7.98%,13.24%,21.33%,1.21%,-0.10%,8.33%,3.27%,2.40%,2.5,1.48M,3.77,10.01,0.10%,5564275
677,678,SWAV,1.34%,6.36%,46.06%,33.47%,74.34%,43.17%,4.67%,3.83%,2.2,562.36K,0.99,294.37,-0.60%,557938
678,679,SWK,7.45%,11.17%,17.00%,11.84%,-14.70%,21.01%,3.25%,3.56%,2.9,1.67M,1.6,90.9,-0.63%,2677182
679,680,SWKS,4.57%,10.26%,-4.22%,12.57%,15.47%,19.89%,2.17%,2.67%,2.5,1.84M,1.98,109.26,-0.28%,3652068
680,681,SYF,-2.34%,14.39%,15.48%,-4.22%,7.98%,0.12%,2.55%,2.69%,2.5,6.05M,1.4,32.9,-1.61%,8459772
681,682,SYK,4.89%,3.65%,7.25%,15.97%,45.35%,20.39%,2.06%,2.02%,2.2,1.27M,1.92,294.35,-0.44%,2429656
682,683,SYM,18.87%,82.02%,173.61%,327.55%,220.33%,328.98%,12.29%,10.16%,1.8,759.93K,2.54,51.22,5.30%,1929486
683,684,SYY,1.17%,0.12%,0.62%,-10.65%,-9.15%,-4.00%,1.46%,1.63%,2.4,2.47M,1.78,73.39,-0.01%,4396581
684,685,T,0.69%,-3.60%,-11.42%,-15.03%,-17.39%,-12.76%,1.45%,1.99%,2.5,37.96M,1.69,16.06,0.19%,64091844
685,686,TAK,-0.74%,-1.17%,-1.83%,4.41%,21.07%,3.14%,0.82%,0.83%,2.0,2.18M,1.49,16.09,-0.37%,3243622
686,687,TAP,-0.27%,6.68%,32.80%,25.32%,27.90%,28.65%,1.40%,1.70%,2.8,2.24M,1.13,66.28,-0.48%,2521434
687,688,TCOM,-4.71%,6.67%,-1.77%,4.62%,64.23%,4.65%,2.86%,3.09%,1.8,5.05M,0.81,36.0,0.39%,4066634
688,689,TD,3.19%,-0.03%,7.83%,-5.28%,-11.54%,-5.56%,1.37%,1.59%,2.1,2.54M,0.78,61.16,0.30%,1978473
689,690,TDG,1.98%,-0.49%,18.09%,29.92%,53.18%,29.58%,1.78%,1.77%,2.1,259.09K,1.55,815.89,-1.06%,402828
690,691,TDY,3.68%,-1.58%,-0.45%,-3.48%,9.06%,1.63%,2.16%,1.84%,2.1,249.04K,1.49,406.43,-0.63%,371773
691,692,TEAM,3.38%,23.44%,12.35%,18.65%,-1.04%,38.17%,3.44%,4.80%,2.0,2.05M,1.31,177.8,-2.41%,2681970
692,693,TECH,0.08%,-4.33%,8.55%,-9.58%,-5.05%,-5.30%,2.82%,2.43%,1.8,1.04M,2.64,78.49,2.45%,2738282
693,694,TECK,-1.29%,-2.49%,22.69%,12.44%,5.34%,12.08%,2.93%,3.24%,1.9,5.24M,1.11,41.96,-3.05%,5793344
694,695,TEF,-7.21%,-9.18%,-1.78%,11.56%,-17.87%,8.12%,1.92%,1.32%,1.0,901.41K,9.16,3.86,-3.26%,8259581
695,696,TEL,5.98%,11.16%,10.08%,9.18%,12.48%,18.16%,1.70%,1.70%,2.4,1.45M,2.28,135.65,1.66%,3289220
696,697,TER,5.75%,17.00%,5.67%,17.96%,20.14%,27.14%,2.26%,2.93%,2.5,1.62M,2.08,111.06,0.88%,3380416
697,698,TFC,-2.24%,10.30%,4.38%,-24.44%,-31.52%,-25.87%,4.69%,4.02%,2.5,15.80M,1.38,31.9,-0.99%,21743230
698,699,TFII,1.19%,-3.06%,-8.51%,-1.95%,38.38%,6.00%,2.25%,2.40%,2.0,232.90K,2.14,106.25,0.09%,497704
699,700,TFX,6.47%,2.82%,7.02%,-0.35%,-1.87%,1.11%,2.83%,2.24%,2.5,294.87K,1.5,252.4,1.45%,443037
700,701,TGT,5.37%,-16.87%,-16.03%,-12.26%,-9.24%,-10.22%,3.00%,2.88%,2.3,4.83M,2.04,133.81,-2.92%,9828359
701,702,TJX,2.39%,2.93%,9.10%,2.48%,41.00%,2.09%,1.64%,1.62%,1.9,4.72M,1.78,81.26,-0.27%,8389040
702,703,TLK,-5.38%,-0.85%,1.17%,12.80%,-3.19%,11.99%,1.07%,1.09%,1.0,193.17K,0.99,26.71,-1.37%,191206
703,704,TM,10.57%,15.72%,23.13%,13.62%,4.85%,20.33%,1.52%,1.12%,2.3,283.38K,1.48,164.35,-2.28%,420417
704,705,TME,3.21%,-3.37%,2.29%,1.01%,76.87%,-3.02%,4.24%,4.78%,2.0,6.79M,1.84,8.03,-3.60%,12469524
705,706,TMO,3.69%,3.00%,-1.83%,-5.28%,4.38%,-2.43%,1.84%,1.97%,2.0,1.46M,2.34,537.3,0.41%,3423931
706,707,TMUS,-0.33%,-7.52%,-8.09%,-8.03%,3.49%,-6.48%,1.69%,2.13%,1.8,6.54M,1.99,130.93,-1.38%,13010625
707,708,TOST,-0.69%,6.27%,26.88%,9.81%,58.12%,20.41%,4.95%,4.40%,2.5,6.23M,1.7,21.71,-5.73%,10594518
708,709,TPL,-2.47%,0.92%,-16.82%,-47.59%,-16.34%,-42.04%,3.11%,3.12%,2.5,40.17K,1.54,1358.6,-0.26%,61981
709,710,TPR,1.59%,-0.18%,6.04%,13.95%,32.63%,13.89%,1.92%,2.67%,2.0,3.24M,1.12,43.37,-0.16%,3637112
710,711,TRGP,1.38%,3.37%,6.40%,-2.02%,7.58%,-2.33%,2.04%,2.22%,1.6,1.65M,1.67,71.79,-0.17%,2758195
711,712,TRI,5.72%,5.08%,4.39%,11.56%,32.33%,13.78%,1.70%,1.66%,2.6,402.05K,1.19,129.79,1.10%,477517
712,713,TRMB,5.11%,9.43%,8.04%,-3.46%,-11.91%,4.17%,2.24%,2.48%,2.4,1.18M,1.64,52.67,-0.47%,1927766
713,714,TROW,-0.25%,8.29%,5.56%,-3.71%,3.73%,4.69%,2.96%,2.41%,3.5,1.44M,1.98,114.18,-0.44%,2841191
714,715,TRP,-2.03%,0.35%,9.17%,-4.11%,-24.09%,1.83%,1.83%,1.70%,3.0,1.70M,2.07,40.59,-1.53%,3513223
715,716,TRU,2.96%,8.57%,28.57%,20.98%,-5.13%,32.99%,2.02%,2.27%,1.9,1.68M,1.3,75.47,-0.80%,2190130
716,717,TRV,0.65%,-2.71%,7.10%,-5.30%,6.77%,-5.73%,1.59%,1.61%,2.7,1.34M,1.73,176.75,0.44%,2317854
717,718,TS,2.32%,5.17%,0.18%,-15.22%,-2.55%,-19.65%,1.65%,2.00%,1.9,2.42M,1.17,28.25,-0.88%,2825215
718,719,TSCO,0.79%,-2.66%,-5.81%,1.68%,11.62%,-2.68%,1.95%,2.30%,2.1,1.17M,1.33,218.93,-0.80%,1558121
719,720,TSLA,6.60%,49.86%,44.64%,66.16%,11.82%,111.51%,3.51%,4.03%,2.5,133.83M,1.25,260.54,1.81%,167208920
720,721,TSM,1.72%,15.06%,16.88%,30.68%,17.32%,40.38%,2.37%,2.62%,1.7,12.00M,0.95,104.57,-0.58%,11421795
721,722,TSN,0.04%,0.54%,-13.92%,-21.69%,-40.09%,-19.05%,1.57%,1.93%,2.7,3.71M,1.11,50.39,0.36%,4114947
722,723,TT,6.15%,6.90%,5.37%,5.96%,46.35%,11.29%,1.64%,1.89%,2.7,1.64M,1.28,187.06,0.98%,2099893
