,No.,Ticker,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Price,Change,Volume
195,196,CSGP,34.35B,404.49M,402.42M,0.80%,-12.31%,99.75%,4.24%,1.52%,3.32,1.84M,84.14,0.08%,7613417
196,197,CSL,12.26B,51.10M,50.65M,0.30%,-5.02%,90.90%,-0.73%,2.16%,2.54,431.06K,239.58,-0.37%,979992
197,198,CSX,68.23B,2.05B,2.01B,0.30%,0.00%,76.00%,-2.20%,0.94%,1.49,12.71M,33.21,-1.04%,30031174
198,199,CTAS,50.07B,101.71M,86.25M,0.50%,-3.12%,66.40%,0.61%,1.29%,3.23,344.87K,491.36,-0.21%,625449
199,200,CTRA,19.00B,764.00M,749.43M,0.10%,-2.69%,97.40%,0.62%,4.78%,4.6,7.79M,25.21,0.52%,21771520
200,201,CTSH,32.85B,509.00M,506.25M,0.10%,-6.00%,93.50%,-0.42%,1.52%,2.16,3.57M,65.08,0.53%,5836794
201,202,CTVA,41.00B,712.90M,709.80M,0.19%,3.04%,83.30%,-0.09%,0.89%,2.13,2.97M,57.23,-0.78%,10088758
202,203,CUK,20.03B,1.18B,144.55M,0.10%,-7.07%,20.80%,2.18%,2.35%,1.78,1.91M,14.22,-1.46%,2442347
203,204,CVE,32.37B,1.91B,1.37B,0.10%,0.00%,73.10%,0.33%,3.77%,6.44,8.02M,16.65,-1.83%,7694540
204,205,CVS,89.10B,1.28B,1.28B,0.10%,1.08%,80.70%,0.58%,1.17%,1.75,8.52M,67.72,-2.56%,18190479
205,206,CVX,297.71B,1.89B,1.88B,0.04%,-2.80%,72.00%,-0.67%,0.89%,2.13,7.82M,157.26,-0.64%,22851275
206,207,CX,11.11B,1.45B,1.45B,60.00%,0.00%,30.00%,-1.57%,0.72%,1.65,6.32M,7.2,-1.37%,7170956
207,208,CZR,10.81B,215.00M,213.66M,0.40%,3.81%,96.50%,-1.08%,3.43%,2.52,2.91M,48.84,-2.75%,3795437
208,209,D,44.20B,835.20M,832.12M,0.14%,-0.55%,72.40%,1.49%,0.66%,1.41,3.87M,53.33,0.87%,9863989
209,210,DAL,27.56B,642.72M,640.42M,0.20%,-2.17%,67.50%,-1.80%,3.93%,2.37,10.64M,42.79,-0.21%,12204599
210,211,DAR,10.29B,160.15M,158.86M,1.17%,-3.68%,97.40%,0.52%,2.75%,3.14,1.39M,65.12,0.95%,2068010
211,212,DASH,27.88B,390.40M,357.94M,0.50%,-56.02%,86.20%,-0.82%,4.55%,4.66,3.50M,73.26,2.09%,3657957
212,213,DB,21.29B,2.07B,1.91B,2.70%,0.00%,40.06%,-,0.77%,3.47,4.26M,10.42,-1.79%,3683169
213,214,DD,32.00B,458.80M,453.54M,0.10%,-0.69%,75.00%,0.18%,1.64%,2.15,3.46M,69.41,-0.43%,7874417
214,215,DDOG,31.61B,319.29M,263.53M,0.70%,-39.22%,80.70%,0.81%,3.89%,2.01,5.10M,95.75,-2.48%,4338584
215,216,DE,119.19B,295.10M,290.26M,0.10%,-10.52%,78.50%,-2.30%,1.04%,1.67,1.80M,407.63,0.27%,2118653
216,217,DECK,13.39B,26.31M,26.08M,1.10%,-16.72%,102.79%,-0.10%,2.15%,1.26,445.16K,512.72,0.14%,490384
217,218,DELL,36.51B,724.00M,244.04M,1.10%,-6.07%,82.40%,-1.06%,3.48%,1.85,4.58M,49.67,-1.06%,9351738
218,219,DEO,95.59B,568.50M,140.78M,0.70%,0.00%,9.30%,-4.57%,1.19%,4.88,343.03K,173.46,-0.25%,590539
219,220,DFS,29.78B,262.00M,252.07M,0.50%,-2.08%,85.00%,-1.41%,2.73%,3.29,2.09M,115.32,-1.65%,5916613
220,221,DG,35.90B,219.19M,217.95M,0.10%,-6.67%,94.10%,-3.48%,2.25%,1.83,2.68M,164.32,0.39%,4779634
221,222,DGX,15.37B,112.00M,110.08M,0.20%,-6.13%,95.00%,-1.34%,3.68%,3.89,1.04M,138.6,1.02%,2672989
222,223,DHI,39.36B,342.10M,302.33M,0.60%,-5.93%,87.30%,0.09%,3.19%,3.25,2.96M,116.4,0.86%,6316988
223,224,DHR,179.69B,729.40M,648.17M,0.20%,-3.04%,81.00%,-0.21%,0.67%,1.38,3.12M,241.8,-0.70%,6380330
224,225,DIS,169.83B,1.83B,1.82B,0.06%,-5.44%,65.00%,2.21%,1.30%,2.06,11.47M,91.32,-1.74%,22641615
225,226,DKNG,11.47B,455.08M,437.79M,2.10%,-32.18%,58.20%,2.01%,5.84%,2.21,11.58M,24.51,-1.29%,14098348
226,227,DKS,11.65B,83.07M,57.19M,1.20%,-24.83%,95.93%,-2.04%,15.11%,5.7,1.51M,135.1,0.02%,1463642
227,228,DLR,30.71B,291.22M,287.20M,0.12%,-3.41%,98.40%,0.96%,5.74%,5.41,3.05M,105.18,-0.20%,4568562
228,229,DLTR,30.51B,221.10M,218.28M,0.10%,4.13%,102.33%,1.27%,3.46%,3.39,2.23M,136.22,-1.60%,2591443
229,230,DOCU,10.98B,202.63M,197.79M,1.00%,-17.84%,78.60%,-0.67%,4.60%,2.32,3.93M,53.85,-0.79%,5750262
230,231,DOV,20.57B,139.76M,139.14M,0.20%,-15.92%,94.70%,0.45%,1.14%,1.9,838.99K,147.73,0.44%,1529268
231,232,DOW,37.83B,708.20M,702.78M,0.10%,0.06%,65.60%,-4.53%,1.88%,2.83,4.68M,53.16,-0.60%,9530598
232,233,DOX,11.63B,120.24M,120.20M,4.80%,0.00%,98.40%,-0.17%,1.12%,2.15,628.76K,97.6,0.95%,926017
233,234,DPZ,11.50B,35.39M,35.19M,0.40%,1.59%,93.90%,-9.47%,3.33%,1.7,687.38K,331.41,1.83%,2064234
234,235,DRI,20.18B,121.40M,119.89M,0.40%,-18.59%,92.00%,-1.11%,5.50%,4.82,1.37M,166.01,-0.51%,1926328
235,236,DT,15.23B,289.44M,194.88M,0.70%,-94.08%,99.83%,2.96%,5.27%,3.66,2.81M,51.21,-2.18%,3588547
236,237,DTE,23.48B,206.00M,192.24M,0.20%,-1.27%,75.50%,1.19%,1.11%,1.75,1.22M,114.12,0.18%,4874008
237,238,DUK,70.66B,770.00M,769.27M,0.12%,-0.21%,64.40%,0.18%,1.07%,2.72,3.02M,92.18,0.53%,8690182
238,239,DVN,31.83B,645.00M,638.76M,0.40%,1.26%,80.70%,0.48%,2.51%,1.86,8.60M,49.8,0.40%,16246841
239,240,DXCM,50.77B,386.70M,384.65M,0.10%,-39.80%,98.80%,-0.35%,3.71%,6.19,2.31M,130.1,-0.67%,4306193
240,241,E,48.22B,1.67B,1.23B,32.10%,0.00%,1.20%,-18.36%,0.06%,2.53,313.57K,28.43,-0.56%,834863
241,242,EA,35.18B,274.00M,272.61M,0.20%,-10.61%,94.00%,-0.25%,2.36%,3.09,2.09M,128.66,-0.26%,3122195
242,243,EBAY,24.39B,537.00M,533.61M,0.10%,-4.87%,90.00%,-1.04%,2.80%,3.13,4.78M,45.06,-1.23%,8588093
243,244,EBR,18.91B,2.03B,2.03B,-,-,1.71%,-,0.10%,1.44,1.45M,8.01,-3.03%,3037527
244,245,EBR-B,18.91B,279.94M,279.94M,-,-,1.21%,-,0.06%,5.93,27.04K,8.95,-5.29%,221753
245,246,EC,21.18B,2.06B,221.63M,1.00%,0.00%,1.50%,-8.83%,3.12%,3.33,2.08M,10.45,0.19%,1365594
246,247,ECL,51.88B,284.60M,283.44M,0.10%,-19.89%,90.80%,1.12%,0.63%,1.68,1.06M,182.04,-0.10%,2509734
247,248,ED,32.24B,352.90M,345.92M,0.10%,0.48%,68.20%,0.86%,2.29%,4.17,1.90M,92.97,-0.05%,4677104
248,249,EDR,10.74B,291.94M,287.82M,0.55%,-23.14%,96.00%,0.94%,1.65%,1.63,2.91M,22.33,-1.11%,2333094
249,250,EFX,28.50B,122.60M,121.93M,0.10%,-19.04%,96.90%,0.32%,3.74%,6.44,708.42K,229.77,-1.13%,1373090
250,251,EIX,26.35B,383.00M,381.54M,0.10%,-5.87%,90.40%,0.71%,2.00%,4.58,1.67M,70.18,2.01%,3756051
251,252,EL,71.27B,357.90M,230.07M,0.20%,-11.03%,91.30%,-0.58%,1.45%,1.57,2.13M,203.95,2.28%,5233445
252,253,ELS,12.67B,185.90M,176.96M,0.60%,0.00%,96.10%,0.65%,1.56%,3.43,803.24K,68.7,0.94%,1457025
253,254,ELV,107.08B,237.50M,236.46M,0.10%,-6.72%,92.80%,0.08%,0.81%,1.62,1.18M,443.21,-1.89%,2485995
254,255,EMR,50.31B,570.90M,565.69M,0.20%,0.00%,76.10%,-0.28%,1.04%,1.79,3.29M,87.41,-0.70%,5519605
255,256,ENB,75.39B,2.02B,2.02B,9.20%,0.00%,70.50%,0.16%,2.57%,15.36,3.38M,37.48,0.62%,3618921
256,257,ENPH,24.74B,136.69M,133.17M,1.20%,3.09%,81.20%,8.29%,4.85%,1.66,3.90M,181.81,0.72%,4622896
257,258,ENTG,16.41B,149.43M,147.90M,0.20%,-11.98%,104.09%,3.82%,5.01%,4.55,1.63M,106.51,-2.85%,3172118
258,259,EOG,65.33B,584.00M,581.97M,0.30%,0.43%,89.00%,-0.44%,1.39%,2.25,3.59M,113.41,1.53%,6109452
259,260,EPAM,13.19B,57.70M,55.71M,2.20%,0.00%,96.60%,2.83%,2.68%,2.29,650.87K,219.51,-3.66%,1465093
260,261,EPD,57.23B,2.17B,1.47B,32.72%,0.01%,27.20%,-1.04%,0.75%,2.48,4.44M,26.39,0.27%,3729158
261,262,EQIX,72.91B,92.97M,92.25M,0.10%,-43.72%,96.50%,0.71%,1.67%,3.59,430.54K,778.61,-0.13%,904142
262,263,EQNR,97.43B,3.12B,3.12B,67.30%,0.00%,5.50%,2.27%,0.27%,2.52,3.34M,30.13,-2.02%,4548741
263,264,EQR,25.14B,378.34M,371.23M,1.71%,-0.86%,93.10%,-0.46%,1.66%,3.49,1.76M,66.72,0.56%,3799493
264,265,EQT,14.09B,361.46M,358.63M,0.20%,-4.20%,99.20%,1.80%,6.42%,3.58,6.44M,39.64,1.77%,11567296
265,266,ERIC,17.97B,3.33B,2.99B,0.90%,0.00%,8.20%,-7.02%,0.73%,2.4,9.08M,5.43,0.18%,9769865
266,267,ERIE,11.38B,52.29M,30.84M,0.80%,0.00%,36.80%,1.50%,2.16%,7.07,94.26K,216.99,-0.33%,180786
267,268,ES,24.77B,349.22M,347.02M,0.10%,-1.56%,82.00%,0.33%,1.25%,2.26,1.92M,72.08,1.51%,4268061
268,269,ESS,15.07B,64.46M,63.98M,1.19%,0.00%,97.50%,0.33%,1.31%,2.12,395.88K,236.92,0.90%,728773
269,270,ET,39.76B,3.10B,2.48B,2.20%,9.80%,43.90%,-2.14%,2.29%,5.7,9.95M,12.82,-0.16%,9260684
270,271,ETN,78.48B,398.50M,396.20M,0.20%,-24.21%,85.10%,0.19%,1.51%,2.82,2.12M,191.26,-2.86%,6246828
271,272,ETR,21.61B,211.35M,202.71M,0.10%,-6.44%,92.70%,0.49%,1.16%,1.94,1.21M,102.01,-0.18%,3772342
272,273,ETSY,11.84B,124.34M,122.34M,0.60%,-26.82%,101.74%,-3.54%,11.07%,4.1,3.30M,94.6,-1.43%,4232949
273,274,EVRG,13.69B,230.00M,229.03M,0.20%,-5.60%,86.30%,0.12%,1.02%,1.95,1.20M,59.31,-0.50%,2716179
274,275,EW,55.34B,607.50M,602.89M,0.10%,-39.80%,84.90%,-0.08%,1.84%,4.03,2.76M,91.94,0.71%,6594329
275,276,EXAS,16.85B,178.57M,176.12M,0.70%,-7.75%,89.30%,-1.76%,5.33%,5.22,1.80M,93.42,0.03%,2269490
276,277,EXC,40.60B,995.00M,991.34M,0.20%,-0.30%,83.90%,0.36%,1.12%,1.57,7.08M,41.21,0.96%,9590593
277,278,EXPD,18.22B,154.16M,151.63M,0.20%,-15.22%,98.60%,0.02%,7.09%,8.75,1.23M,118.83,-0.37%,3246628
278,279,EXPE,15.87B,152.48M,141.18M,0.20%,-2.11%,95.60%,-3.04%,3.31%,1.81,2.58M,105.87,-1.16%,3788663
279,280,EXR,19.69B,134.51M,82.94M,0.10%,-9.02%,99.20%,0.75%,14.85%,8.98,1.37M,145.28,-0.34%,1572912
280,281,F,57.81B,3.99B,3.88B,0.18%,-2.09%,52.90%,0.47%,4.76%,2.85,64.60M,14.42,-0.21%,75215766
281,282,FANG,22.94B,181.99M,175.17M,0.20%,-6.34%,98.10%,-0.34%,3.43%,3.03,1.98M,128.74,1.64%,4052750
282,283,FAST,32.11B,570.90M,569.74M,0.10%,-5.91%,79.30%,-0.63%,2.54%,4.58,3.16M,56.58,0.60%,6521724
283,284,FCNCA,19.99B,14.53M,13.22M,1.10%,6.83%,66.10%,-8.42%,3.81%,2.17,231.74K,1282.99,-1.21%,182279
284,285,FCNCO,19.66B,8.00M,8.00M,-,-,13.57%,-,0.05%,0.12,30.91K,20.3,-1.00%,8366
285,286,FCNCP,19.76B,12.00M,12.00M,-,-,23.02%,-,0.03%,0.09,42.16K,19.74,0.41%,6075
286,287,FCX,57.45B,1.43B,1.42B,0.56%,-0.09%,79.30%,-0.48%,1.50%,1.66,12.79M,39.89,-0.47%,16104764
287,288,FDS,16.18B,38.28M,38.05M,0.10%,-36.27%,92.50%,0.93%,1.46%,2.09,266.23K,420.91,-0.33%,512862
288,289,FDX,59.43B,251.00M,240.31M,0.20%,-23.27%,74.80%,1.72%,1.43%,1.68,2.04M,233.46,-1.26%,3246718
289,290,FE,22.40B,572.00M,571.40M,0.08%,0.00%,89.00%,-0.34%,1.89%,2.68,4.02M,39.07,-0.10%,6885722
290,291,FERG,31.08B,205.40M,203.99M,0.16%,0.00%,77.10%,-1.90%,1.30%,2.06,1.28M,151.07,-0.53%,2121886
291,292,FI,74.29B,626.90M,612.81M,0.50%,0.00%,92.50%,-0.52%,1.66%,2.63,3.87M,119.96,-0.32%,6416508
292,293,FICO,20.05B,25.12M,24.57M,0.90%,-10.21%,91.80%,-0.59%,2.65%,2.27,285.93K,799.96,-0.27%,262831
293,294,FIS,32.02B,592.00M,587.96M,0.20%,1.40%,93.50%,-2.15%,1.43%,1.49,5.65M,54.78,1.35%,6073957
294,295,FITB,18.22B,684.02M,673.73M,0.10%,7.77%,83.00%,-0.11%,1.04%,0.79,8.81M,26.54,-0.82%,11155224
295,296,FIVE,10.83B,55.65M,54.17M,1.20%,-8.63%,108.72%,0.49%,6.89%,4.6,810.62K,190.43,-2.16%,534700
296,297,FLEX,11.93B,451.00M,441.96M,0.30%,-42.99%,101.50%,0.55%,2.56%,2.55,4.44M,26.77,-0.30%,3750427
297,298,FLT,18.05B,73.52M,71.54M,2.70%,0.00%,93.90%,-5.79%,2.25%,2.73,588.53K,243.63,-0.34%,672390
298,299,FMC,13.24B,125.34M,124.46M,0.40%,-1.68%,92.80%,1.64%,0.95%,1.27,931.52K,106.77,0.82%,1604693
299,300,FMS,13.96B,586.83M,586.83M,-,-,9.90%,-,0.44%,3.61,710.78K,23.57,0.00%,1865156
300,301,FMX,36.43B,357.82M,354.24M,79.80%,0.00%,37.40%,5.88%,0.26%,2.05,448.36K,111.19,0.66%,280850
301,302,FND,10.32B,105.96M,104.13M,0.20%,-10.54%,111.62%,1.42%,13.37%,10.89,1.28M,96.26,-0.83%,885245
302,303,FNV,36.77B,191.90M,190.28M,0.71%,0.00%,74.38%,-,1.93%,7.05,521.77K,145.74,0.57%,1308340
303,304,FOX,16.47B,235.58M,131.76M,43.16%,-0.08%,53.26%,-,2.33%,2.49,1.23M,31.5,-0.16%,1734483
304,305,FOXA,16.49B,521.00M,404.39M,0.20%,-14.94%,103.20%,-1.15%,4.54%,4.8,3.83M,33.64,-0.09%,10264521
305,306,FSLR,20.60B,106.67M,101.07M,0.30%,-23.17%,83.10%,1.97%,3.83%,1.56,2.49M,188.99,-2.02%,3105346
306,307,FTNT,57.78B,783.20M,633.43M,12.00%,-1.03%,67.80%,-4.12%,2.01%,2.69,4.73M,72.78,-1.10%,10912404
307,308,FTS,27.32B,483.10M,479.26M,0.07%,0.00%,55.01%,-,2.38%,19.26,593.48K,42.87,0.47%,663239
308,309,FTV,25.45B,353.60M,348.54M,0.10%,-1.84%,97.20%,-8.22%,1.56%,2.39,2.27M,71.82,-0.21%,3688131
309,310,FWONA,30.69B,234.39M,22.33M,3.56%,-3.58%,89.70%,-0.14%,1.37%,2.67,114.55K,70.32,-1.68%,280884
310,311,FWONK,30.28B,207.97M,201.04M,2.49%,-5.64%,99.37%,-,2.56%,6.35,811.22K,78.09,-2.34%,1625131
311,312,GD,58.97B,274.00M,273.28M,0.50%,-1.66%,86.70%,-0.94%,1.20%,2.67,1.23M,217.34,1.11%,1560349
312,313,GDDY,11.74B,154.12M,152.29M,0.30%,-7.41%,98.60%,-1.69%,1.30%,1.55,1.28M,74.91,-1.41%,3275093
313,314,GE,114.79B,1.09B,1.08B,0.20%,-10.16%,71.90%,-3.29%,1.23%,2.23,5.93M,106.29,0.83%,10619041
314,315,GEHC,35.97B,454.68M,453.21M,0.05%,-22.99%,56.98%,-,1.53%,2.57,2.71M,78.65,-0.57%,5384994
315,316,GEN,12.08B,641.00M,610.17M,8.30%,0.56%,85.70%,-0.44%,3.17%,4.15,4.66M,18.63,-1.17%,10172338
316,317,GFI,13.43B,891.30M,858.33M,-,-,34.10%,14.38%,1.44%,2.16,5.74M,14.98,-0.93%,37900230
317,318,GFL,18.28B,369.18M,320.12M,3.21%,0.00%,96.09%,-,0.89%,2.65,1.08M,37.28,-0.48%,696328
318,319,GFS,34.73B,550.00M,538.18M,-,-,104.60%,1.60%,1.80%,6.94,1.40M,62.46,-0.76%,2639601
319,320,GGG,14.38B,168.02M,166.97M,0.10%,-61.62%,89.90%,0.07%,1.57%,2.86,916.68K,86.12,0.84%,1752900
320,321,GIB,22.28B,235.04M,183.18M,12.40%,0.00%,70.00%,-7.24%,0.64%,7.73,151.19K,104.58,-0.56%,185572
321,322,GILD,98.54B,1.25B,1.23B,0.10%,-1.73%,83.00%,0.85%,1.24%,2.76,5.53M,78.86,-0.18%,13975915
322,323,GIS,47.41B,592.50M,584.30M,0.20%,-8.14%,78.10%,-0.49%,2.12%,3.91,3.17M,80.71,0.00%,5344518
323,324,GL,10.35B,96.39M,95.15M,1.60%,-11.99%,84.00%,-0.08%,1.25%,2.17,549.86K,108.01,-0.29%,877458
324,325,GLPI,13.10B,261.79M,246.04M,0.10%,-28.93%,92.20%,2.88%,1.48%,3.38,1.08M,49.83,-0.24%,1686676
325,326,GLW,28.77B,844.00M,763.28M,0.10%,-28.27%,70.00%,-2.11%,0.74%,1.24,4.57M,35.85,5.94%,21244427
326,327,GM,52.87B,1.40B,1.35B,0.20%,-0.10%,82.80%,-3.21%,2.46%,2.29,14.51M,37.96,-0.18%,14509190
327,328,GMAB,25.20B,653.18M,652.65M,-,-,6.90%,25.02%,0.55%,9.24,390.16K,38.77,0.05%,600709
328,329,GOLD,28.95B,1.75B,1.75B,0.10%,0.00%,63.30%,-1.77%,1.58%,1.75,15.82M,16.71,1.33%,21130784
329,330,GOOG,1571.57B,5.87B,5.11B,0.01%,-15.59%,64.20%,-,0.69%,1.29,27.30M,124.06,-1.38%,56622622
330,331,GOOGL,1592.38B,6.82B,5.92B,0.28%,-0.96%,78.60%,-0.21%,0.87%,1.46,35.03M,123.53,-1.25%,44465949
331,332,GPC,22.71B,140.80M,137.98M,0.10%,3.00%,82.40%,1.07%,1.60%,2.1,1.05M,161.47,-0.11%,1381324
332,333,GPN,26.71B,263.12M,260.24M,0.20%,-0.29%,90.80%,0.59%,1.70%,1.9,2.33M,100.68,-1.25%,3751644
333,334,GRAB,13.37B,3.85B,2.58B,27.55%,0.00%,48.00%,1.28%,4.60%,6.93,17.10M,3.42,-0.58%,23693368
334,335,GRMN,20.31B,191.50M,153.38M,0.10%,-17.61%,55.50%,0.88%,2.02%,4.17,742.65K,106.0,-0.14%,1380234
335,336,GS,112.94B,346.60M,331.57M,0.30%,-1.67%,71.40%,-0.22%,1.10%,1.63,2.23M,338.31,-0.42%,4481390
336,337,GSK,71.28B,2.02B,1.99B,0.20%,0.00%,13.80%,0.62%,0.17%,1.18,2.82M,35.15,-0.34%,5945434
337,338,GWW,37.32B,50.20M,45.63M,0.20%,-36.31%,75.40%,0.88%,2.56%,4.17,279.77K,732.43,-1.54%,419238
338,339,H,11.92B,106.39M,46.32M,1.70%,-6.27%,104.17%,-0.34%,9.83%,5.49,829.35K,113.17,0.40%,694206
339,340,HAL,29.51B,904.00M,901.01M,0.30%,-11.07%,84.70%,0.89%,3.02%,2.7,10.07M,32.58,-0.40%,10388206
340,341,HBAN,15.72B,1.44B,1.43B,0.60%,-3.30%,83.70%,1.70%,3.16%,2.41,18.75M,10.92,0.28%,25608002
341,342,HBANL,15.76B,13.00M,13.00M,-,-,8.44%,-,0.34%,0.24,186.64K,24.86,0.12%,22085
342,343,HBANP,15.76B,20.00M,20.00M,-,-,17.86%,-,0.31%,0.82,76.31K,18.74,-1.11%,40466
343,344,HCA,78.65B,276.91M,210.77M,0.10%,-28.80%,66.80%,-2.43%,1.09%,1.85,1.24M,290.08,1.47%,2962332
344,345,HD,303.65B,1.01B,1.00B,0.08%,-0.18%,71.70%,0.41%,1.33%,3.07,4.35M,300.38,-0.54%,10795560
345,346,HDB,107.90B,1.85B,1.83B,-,-,18.30%,0.94%,0.09%,1.04,1.59M,66.45,2.86%,2832053
346,347,HEI,20.02B,136.92M,116.36M,4.00%,-0.53%,70.50%,-0.00%,1.45%,4.95,341.10K,165.89,-0.23%,278943
347,348,HEI-A,19.98B,82.28M,74.42M,9.56%,-0.18%,97.24%,-,0.62%,2.38,193.78K,132.54,-0.15%,361767
348,349,HES,41.70B,305.40M,276.00M,0.10%,-62.85%,88.40%,-0.09%,1.50%,2.52,1.64M,135.56,-0.18%,2568214
349,350,HIG,22.05B,314.00M,308.90M,0.20%,-14.28%,93.60%,-1.64%,0.77%,1.14,2.08M,71.88,1.15%,2607683
350,351,HLN,37.54B,4.62B,2.84B,6.41%,0.00%,6.70%,-,0.50%,3.33,4.30M,8.42,0.96%,2096395
351,352,HLT,37.22B,266.00M,259.65M,0.20%,-7.81%,98.60%,-2.78%,1.64%,2.57,1.66M,140.81,0.10%,2668234
352,353,HMC,58.33B,1.68B,1.66B,0.30%,0.00%,5.50%,3.31%,0.11%,1.64,1.08M,31.32,-2.13%,2601854
353,354,HOLX,19.95B,247.73M,244.05M,1.10%,-0.42%,100.05%,-9.33%,2.36%,4.2,1.37M,81.2,0.20%,4133676
354,355,HON,135.57B,667.80M,664.84M,0.10%,-0.96%,75.90%,0.09%,0.91%,2.45,2.47M,202.97,-0.37%,5002796
355,356,HPE,22.54B,1.30B,1.28B,0.20%,-36.28%,85.40%,-0.76%,2.32%,2.25,13.19M,17.57,0.69%,24479472
356,357,HPQ,30.66B,991.00M,970.20M,0.10%,-11.40%,83.70%,-5.45%,2.13%,2.86,7.22M,31.0,-0.32%,13959223
357,358,HRL,22.56B,546.42M,287.16M,0.20%,-4.96%,41.40%,0.10%,3.84%,4.7,2.35M,41.27,-0.07%,3332910
358,359,HSBC,154.91B,3.97B,3.97B,0.30%,0.00%,1.40%,1.56%,0.24%,5.02,1.90M,39.18,0.33%,1701440
359,360,HST,12.17B,713.40M,706.78M,1.11%,-0.05%,107.13%,-0.50%,4.49%,4.71,6.73M,17.05,-0.35%,9087653
360,361,HSY,53.32B,204.86M,146.48M,0.40%,-62.26%,79.10%,0.34%,2.93%,4.19,1.03M,260.72,-0.05%,1576480
361,362,HTHT,14.70B,317.42M,202.57M,56.40%,0.00%,46.60%,-1.85%,4.78%,6.24,1.55M,43.0,-2.89%,1796423
362,363,HUBB,17.20B,53.60M,53.45M,0.20%,-8.45%,93.20%,1.55%,1.42%,1.94,392.05K,320.38,-0.20%,828246
363,364,HUBS,25.82B,49.40M,46.26M,4.70%,-5.59%,93.80%,1.36%,2.50%,1.97,588.29K,519.32,-0.13%,720542
364,365,HUM,57.96B,125.00M,124.71M,0.10%,-24.43%,96.10%,-0.31%,1.27%,1.55,1.02M,445.65,-3.92%,5292762
365,366,HWM,19.03B,412.00M,410.92M,0.69%,-2.10%,93.60%,0.59%,0.88%,1.23,2.95M,45.98,-0.13%,2976300
366,367,HZNP,23.16B,228.40M,223.96M,1.17%,-2.74%,95.80%,1.84%,3.25%,3.21,2.26M,101.63,0.32%,2796558
367,368,IBKR,34.23B,102.96M,99.71M,2.00%,-4.21%,91.20%,1.41%,1.29%,1.35,948.33K,80.28,-0.82%,962595
368,369,IBM,125.67B,907.53M,903.33M,0.09%,-4.62%,58.50%,1.43%,2.69%,4.97,4.89M,137.48,-0.66%,7468309
369,370,IBN,79.13B,3.49B,3.39B,62.40%,0.00%,17.50%,5.95%,0.41%,3.26,4.21M,22.87,0.00%,6173247
370,371,ICE,62.92B,559.00M,550.82M,0.20%,-17.40%,91.20%,-1.06%,0.72%,1.65,2.40M,111.68,-0.62%,3803685
371,372,ICLR,19.14B,81.78M,81.08M,4.00%,0.00%,98.16%,0.90%,1.66%,2.19,616.03K,234.12,0.21%,551071
372,373,IDXX,39.96B,82.99M,82.01M,0.30%,-11.23%,91.80%,-0.23%,2.53%,5.32,390.33K,483.03,0.33%,706647
373,374,IEP,10.57B,354.00M,336.90M,0.10%,0.00%,86.90%,3.42%,1.41%,1.72,2.77M,27.94,-2.38%,3081634
374,375,IEX,15.90B,75.60M,75.17M,0.10%,-4.03%,100.77%,-1.75%,1.23%,2.17,425.79K,209.75,-0.31%,872664
375,376,IFF,20.28B,255.00M,254.38M,0.22%,-0.35%,93.30%,-0.78%,1.37%,1.93,1.80M,80.35,1.07%,5049504
376,377,IHG,12.08B,178.00M,168.37M,1.00%,0.00%,4.80%,1.31%,0.41%,4.65,147.60K,71.23,-0.45%,90758
377,378,ILMN,33.19B,158.00M,156.75M,0.10%,-6.49%,91.10%,2.69%,3.18%,4.03,1.24M,205.87,-1.94%,2441990
378,379,IMO,29.25B,584.20M,132.78M,69.60%,0.00%,18.10%,-4.53%,5.47%,15.15,479.71K,49.73,-0.66%,424380
379,380,INCY,13.96B,222.96M,218.93M,0.40%,-11.71%,98.50%,0.61%,3.14%,3.79,1.81M,63.23,1.04%,8439018
380,381,INFY,64.97B,4.14B,3.56B,18.20%,0.00%,14.10%,-5.66%,1.23%,3.87,11.30M,15.83,1.34%,18245147
381,382,ING,47.91B,3.62B,3.56B,1.00%,0.00%,4.20%,-6.83%,0.10%,0.92,3.82M,13.4,0.30%,2432514
382,383,INTC,149.41B,4.15B,4.12B,0.06%,1.53%,62.50%,-1.85%,1.61%,1.46,45.64M,36.37,1.54%,110103134
383,384,INTU,127.80B,281.00M,272.91M,0.20%,-1.61%,87.00%,0.38%,1.22%,1.82,1.83M,455.03,-0.28%,2618104
384,385,INVH,21.01B,611.59M,610.08M,0.31%,0.00%,105.27%,3.21%,2.84%,5.95,2.91M,34.4,0.17%,4749352
385,386,IOT,15.35B,526.40M,153.38M,3.70%,-42.88%,71.60%,3.76%,7.58%,3.07,3.79M,28.9,-0.52%,8777117
386,387,IP,11.04B,349.30M,346.48M,0.40%,-6.42%,88.10%,-3.56%,2.84%,3.09,3.19M,31.98,0.53%,7097952
387,388,IPG,15.67B,385.80M,384.49M,0.51%,-7.89%,101.87%,-1.16%,3.82%,3.0,4.89M,40.04,-1.36%,6230899
388,389,IQV,40.22B,185.80M,184.29M,0.88%,-0.68%,91.10%,0.40%,1.28%,2.03,1.16M,216.02,-0.35%,1181617
389,390,IR,26.18B,405.00M,404.13M,0.10%,-33.43%,99.11%,-8.51%,1.30%,2.28,2.30M,64.52,-0.29%,4460532
