,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
227,228,DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,USA,30.71B,93.00,105.18,-0.20%,4568562
228,229,DLTR,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,USA,30.51B,22.03,136.22,-1.60%,2591443
229,230,DOCU,"DocuSign, Inc.",Technology,Software - Application,USA,10.98B,-,53.85,-0.79%,5750262
230,231,DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,USA,20.57B,20.14,147.73,0.44%,1529268
231,232,DOW,Dow Inc.,Basic Materials,Chemicals,USA,37.83B,13.28,53.16,-0.60%,9530598
232,233,DOX,Amdocs Limited,Technology,Software - Infrastructure,USA,11.63B,22.02,97.6,0.95%,926017
233,234,DPZ,"Domino's Pizza, Inc.",Consumer Cyclical,Restaurants,USA,11.50B,25.50,331.41,1.83%,2064234
234,235,DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Restaurants,USA,20.18B,21.65,166.01,-0.51%,1926328
235,236,DT,"Dynatrace, Inc.",Technology,Software - Application,USA,15.23B,139.16,51.21,-2.18%,3588547
236,237,DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,USA,23.48B,20.22,114.12,0.18%,4874008
237,238,DUK,Duke Energy Corporation,Utilities,Utilities - Regulated Electric,USA,70.66B,18.09,92.18,0.53%,8690182
238,239,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,31.83B,5.43,49.8,0.40%,16246841
239,240,DXCM,"DexCom, Inc.",Healthcare,Medical Devices,USA,50.77B,188.55,130.1,-0.67%,4306193
240,241,E,Eni S.p.A.,Energy,Oil & Gas Integrated,Italy,48.22B,3.53,28.43,-0.56%,834863
241,242,EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,USA,35.18B,44.86,128.66,-0.26%,3122195
242,243,EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,USA,24.39B,37.68,45.06,-1.23%,8588093
243,244,EBR,Centrais Eletricas Brasileiras S.A.,Utilities,Utilities - Regulated Electric,Brazil,18.91B,-,8.01,-3.03%,3037527
244,245,EBR-B,Centrais Eletricas Brasileiras S.A.,Utilities,Utilities - Regulated Electric,Brazil,18.91B,-,8.95,-5.29%,221753
245,246,EC,Ecopetrol S.A.,Energy,Oil & Gas Integrated,Colombia,21.18B,2.75,10.45,0.19%,1365594
246,247,ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,USA,51.88B,45.16,182.04,-0.10%,2509734
247,248,ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,USA,32.24B,13.25,92.97,-0.05%,4677104
248,249,EDR,"Endeavor Group Holdings, Inc.",Communication Services,Entertainment,USA,10.74B,-,22.33,-1.11%,2333094
249,250,EFX,Equifax Inc.,Industrials,Consulting Services,USA,28.50B,48.29,229.77,-1.13%,1373090
250,251,EIX,Edison International,Utilities,Utilities - Regulated Electric,USA,26.35B,32.19,70.18,2.01%,3756051
251,252,EL,The Estee Lauder Companies Inc.,Consumer Defensive,Household & Personal Products,USA,71.27B,67.49,203.95,2.28%,5233445
252,253,ELS,"Equity LifeStyle Properties, Inc.",Real Estate,REIT - Residential,USA,12.67B,47.22,68.7,0.94%,1457025
253,254,ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,USA,107.08B,17.24,443.21,-1.89%,2485995
254,255,EMR,Emerson Electric Co.,Industrials,Specialty Industrial Machinery,USA,50.31B,20.45,87.41,-0.70%,5519605
255,256,ENB,Enbridge Inc.,Energy,Oil & Gas Midstream,Canada,75.39B,42.02,37.48,0.62%,3618921
256,257,ENPH,"Enphase Energy, Inc.",Technology,Solar,USA,24.74B,53.69,181.81,0.72%,4622896
257,258,ENTG,"Entegris, Inc.",Technology,Semiconductor Equipment & Materials,USA,16.41B,4096.54,106.51,-2.85%,3172118
258,259,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,65.33B,7.09,113.41,1.53%,6109452
259,260,EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,USA,13.19B,30.14,219.51,-3.66%,1465093
260,261,EPD,Enterprise Products Partners L.P.,Energy,Oil & Gas Midstream,USA,57.23B,10.43,26.39,0.27%,3729158
261,262,EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,USA,72.91B,88.18,778.61,-0.13%,904142
262,263,EQNR,Equinor ASA,Energy,Oil & Gas Integrated,Norway,97.43B,3.28,30.13,-2.02%,4548741
263,264,EQR,Equity Residential,Real Estate,REIT - Residential,USA,25.14B,27.33,66.72,0.56%,3799493
264,265,EQT,EQT Corporation,Energy,Oil & Gas E&P,USA,14.09B,3.80,39.64,1.77%,11567296
265,266,ERIC,Telefonaktiebolaget LM Ericsson (publ),Technology,Communication Equipment,Sweden,17.97B,11.08,5.43,0.18%,9769865
266,267,ERIE,Erie Indemnity Company,Financial,Insurance Brokers,USA,11.38B,40.08,216.99,-0.33%,180786
267,268,ES,Eversource Energy,Utilities,Utilities - Regulated Electric,USA,24.77B,17.29,72.08,1.51%,4268061
268,269,ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,USA,15.07B,31.41,236.92,0.90%,728773
269,270,ET,Energy Transfer LP,Energy,Oil & Gas Midstream,USA,39.76B,9.53,12.82,-0.16%,9260684
270,271,ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,Ireland,78.48B,29.84,191.26,-2.86%,6246828
271,272,ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric,USA,21.61B,18.56,102.01,-0.18%,3772342
272,273,ETSY,"Etsy, Inc.",Consumer Cyclical,Internet Retail,USA,11.84B,-,94.6,-1.43%,4232949
273,274,EVRG,"Evergy, Inc.",Utilities,Utilities - Regulated Electric,USA,13.69B,17.69,59.31,-0.50%,2716179
274,275,EW,Edwards Lifesciences Corporation,Healthcare,Medical Devices,USA,55.34B,38.26,91.94,0.71%,6594329
275,276,EXAS,Exact Sciences Corporation,Healthcare,Diagnostics & Research,USA,16.85B,-,93.42,0.03%,2269490
276,277,EXC,Exelon Corporation,Utilities,Utilities - Regulated Electric,USA,40.60B,18.22,41.21,0.96%,9590593
277,278,EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,USA,18.22B,15.55,118.83,-0.37%,3246628
278,279,EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,USA,15.87B,53.99,105.87,-1.16%,3788663
279,280,EXR,Extra Space Storage Inc.,Real Estate,REIT - Industrial,USA,19.69B,22.88,145.28,-0.34%,1572912
280,281,F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,USA,57.81B,20.11,14.42,-0.21%,75215766
281,282,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,22.94B,5.30,128.74,1.64%,4052750
282,283,FAST,Fastenal Company,Industrials,Industrial Distribution,USA,32.11B,29.21,56.58,0.60%,6521724
283,284,FCNCA,"First Citizens BancShares, Inc.",Financial,Banks - Regional,USA,19.99B,1.82,1282.99,-1.21%,182279
284,285,FCNCO,"First Citizens BancShares, Inc.",Financial,Banks - Regional,USA,19.66B,0.35,20.3,-1.00%,8366
285,286,FCNCP,"First Citizens BancShares, Inc.",Financial,Banks - Regional,USA,19.76B,0.34,19.74,0.41%,6075
286,287,FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,USA,57.45B,22.27,39.89,-0.47%,16104764
287,288,FDS,FactSet Research Systems Inc.,Financial,Financial Data & Stock Exchanges,USA,16.18B,36.62,420.91,-0.33%,512862
288,289,FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,USA,59.43B,20.13,233.46,-1.26%,3246718
289,290,FE,FirstEnergy Corp.,Utilities,Utilities - Regulated Electric,USA,22.40B,54.64,39.07,-0.10%,6885722
290,291,FERG,Ferguson plc,Industrials,Industrial Distribution,United Kingdom,31.08B,16.81,151.07,-0.53%,2121886
291,292,FI,"Fiserv, Inc.",Technology,Information Technology Services,USA,74.29B,31.73,119.96,-0.32%,6416508
292,293,FICO,Fair Isaac Corporation,Technology,Software - Application,USA,20.05B,53.35,799.96,-0.27%,262831
293,294,FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,USA,32.02B,-,54.78,1.35%,6073957
294,295,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,18.22B,7.70,26.54,-0.82%,11155224
295,296,FIVE,"Five Below, Inc.",Consumer Cyclical,Specialty Retail,USA,10.83B,39.89,190.43,-2.16%,534700
296,297,FLEX,Flex Ltd.,Technology,Electronic Components,Singapore,11.93B,15.59,26.77,-0.30%,3750427
297,298,FLT,"FLEETCOR Technologies, Inc.",Technology,Software - Infrastructure,USA,18.05B,19.40,243.63,-0.34%,672390
298,299,FMC,FMC Corporation,Basic Materials,Agricultural Inputs,USA,13.24B,16.52,106.77,0.82%,1604693
299,300,FMS,Fresenius Medical Care AG & Co. KGaA,Healthcare,Medical Care Facilities,Germany,13.96B,20.86,23.57,0.00%,1865156
300,301,FMX,"Fomento Economico Mexicano, S.A.B. de C.V.",Consumer Defensive,Beverages - Brewers,Mexico,36.43B,23.61,111.19,0.66%,280850
301,302,FND,"Floor & Decor Holdings, Inc.",Consumer Cyclical,Home Improvement Retail,USA,10.32B,34.46,96.26,-0.83%,885245
302,303,FNV,Franco-Nevada Corporation,Basic Materials,Gold,Canada,36.77B,31.34,145.74,0.57%,1308340
303,304,FOX,Fox Corporation,Communication Services,Entertainment,USA,16.47B,14.72,31.5,-0.16%,1734483
304,305,FOXA,Fox Corporation,Communication Services,Entertainment,USA,16.49B,15.92,33.64,-0.09%,10264521
305,306,FSLR,"First Solar, Inc.",Technology,Solar,USA,20.60B,489.61,188.99,-2.02%,3105346
306,307,FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,USA,57.78B,60.00,72.78,-1.10%,10912404
307,308,FTS,Fortis Inc.,Utilities,Utilities - Regulated Electric,Canada,27.32B,14.55,42.87,0.47%,663239
308,309,FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,USA,25.45B,33.66,71.82,-0.21%,3688131
309,310,FWONA,Formula One Group,Communication Services,Entertainment,USA,30.69B,33.94,70.32,-1.68%,280884
310,311,FWONK,Formula One Group,Communication Services,Entertainment,USA,30.28B,42.44,78.09,-2.34%,1625131
311,312,GD,General Dynamics Corporation,Industrials,Aerospace & Defense,USA,58.97B,17.78,217.34,1.11%,1560349
312,313,GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,USA,11.74B,35.95,74.91,-1.41%,3275093
313,314,GE,General Electric Company,Industrials,Specialty Industrial Machinery,USA,114.79B,15.54,106.29,0.83%,10619041
314,315,GEHC,GE HealthCare Technologies Inc.,Healthcare,Health Information Services,USA,35.97B,21.09,78.65,-0.57%,5384994
315,316,GEN,Gen Digital Inc.,Technology,Software - Infrastructure,USA,12.08B,8.79,18.63,-1.17%,10172338
316,317,GFI,Gold Fields Limited,Basic Materials,Gold,South Africa,13.43B,18.84,14.98,-0.93%,37900230
317,318,GFL,GFL Environmental Inc.,Industrials,Waste Management,Canada,18.28B,-,37.28,-0.48%,696328
318,319,GFS,GLOBALFOUNDRIES Inc.,Technology,Semiconductors,USA,34.73B,23.01,62.46,-0.76%,2639601
319,320,GGG,Graco Inc.,Industrials,Specialty Industrial Machinery,USA,14.38B,30.31,86.12,0.84%,1752900
320,321,GIB,CGI Inc.,Technology,Information Technology Services,Canada,22.28B,21.68,104.58,-0.56%,185572
321,322,GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,USA,98.54B,17.83,78.86,-0.18%,13975915
322,323,GIS,"General Mills, Inc.",Consumer Defensive,Packaged Foods,USA,47.41B,17.42,80.71,0.00%,5344518
323,324,GL,Globe Life Inc.,Financial,Insurance - Life,USA,10.35B,13.30,108.01,-0.29%,877458
324,325,GLPI,"Gaming and Leisure Properties, Inc.",Real Estate,REIT - Specialty,USA,13.10B,17.33,49.83,-0.24%,1686676
325,326,GLW,Corning Incorporated,Technology,Electronic Components,USA,28.77B,33.73,35.85,5.94%,21244427
326,327,GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,USA,52.87B,5.87,37.96,-0.18%,14509190
327,328,GMAB,Genmab A/S,Healthcare,Biotechnology,Denmark,25.20B,32.94,38.77,0.05%,600709
328,329,GOLD,Barrick Gold Corporation,Basic Materials,Gold,Canada,28.95B,273.93,16.71,1.33%,21130784
329,330,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,USA,1571.57B,27.27,124.06,-1.38%,56622622
330,331,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,USA,1592.38B,27.89,123.53,-1.25%,44465949
331,332,GPC,Genuine Parts Company,Consumer Cyclical,Specialty Retail,USA,22.71B,18.49,161.47,-0.11%,1381324
332,333,GPN,Global Payments Inc.,Industrials,Specialty Business Services,USA,26.71B,-,100.68,-1.25%,3751644
333,334,GRAB,Grab Holdings Limited,Technology,Software - Application,Singapore,13.37B,-,3.42,-0.58%,23693368
334,335,GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,Switzerland,20.31B,21.17,106.0,-0.14%,1380234
335,336,GS,"The Goldman Sachs Group, Inc.",Financial,Capital Markets,USA,112.94B,12.05,338.31,-0.42%,4481390
336,337,GSK,GSK plc,Healthcare,Drug Manufacturers - General,United Kingdom,71.28B,12.47,35.15,-0.34%,5945434
337,338,GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,USA,37.32B,22.32,732.43,-1.54%,419238
338,339,H,Hyatt Hotels Corporation,Consumer Cyclical,Lodging,USA,11.92B,21.33,113.17,0.40%,694206
339,340,HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,USA,29.51B,15.11,32.58,-0.40%,10388206
340,341,HBAN,Huntington Bancshares Incorporated,Financial,Banks - Regional,USA,15.72B,7.07,10.92,0.28%,25608002
341,342,HBANL,Huntington Bancshares Incorporated,Financial,Banks - Regional,USA,15.76B,-,24.86,0.12%,22085
342,343,HBANP,Huntington Bancshares Incorporated,Financial,Banks - Regional,USA,15.76B,24.09,18.74,-1.11%,40466
343,344,HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,USA,78.65B,14.54,290.08,1.47%,2962332
344,345,HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,USA,303.65B,18.29,300.38,-0.54%,10795560
345,346,HDB,HDFC Bank Limited,Financial,Banks - Regional,India,107.90B,26.15,66.45,2.86%,2832053
346,347,HEI,HEICO Corporation,Industrials,Aerospace & Defense,USA,20.02B,60.74,165.89,-0.23%,278943
347,348,HEI-A,HEICO Corporation,Industrials,Aerospace & Defense,USA,19.98B,48.55,132.54,-0.15%,361767
348,349,HES,Hess Corporation,Energy,Oil & Gas E&P,USA,41.70B,20.69,135.56,-0.18%,2568214
349,350,HIG,"The Hartford Financial Services Group, Inc.",Financial,Insurance - Diversified,USA,22.05B,12.37,71.88,1.15%,2607683
350,351,HLN,Haleon plc,Healthcare,Drug Manufacturers - Specialty & Generic,United Kingdom,37.54B,27.52,8.42,0.96%,2096395
351,352,HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,USA,37.22B,30.93,140.81,0.10%,2668234
352,353,HMC,"Honda Motor Co., Ltd.",Consumer Cyclical,Auto Manufacturers,Japan,58.33B,10.73,31.32,-2.13%,2601854
353,354,HOLX,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,USA,19.95B,27.08,81.2,0.20%,4133676
354,355,HON,Honeywell International Inc.,Industrials,Conglomerates,USA,135.57B,26.35,202.97,-0.37%,5002796
355,356,HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,USA,22.54B,22.76,17.57,0.69%,24479472
356,357,HPQ,HP Inc.,Technology,Computer Hardware,USA,30.66B,11.76,31.0,-0.32%,13959223
357,358,HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,USA,22.56B,24.31,41.27,-0.07%,3332910
358,359,HSBC,HSBC Holdings plc,Financial,Banks - Diversified,United Kingdom,154.91B,6.99,39.18,0.33%,1701440
359,360,HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,USA,12.17B,15.12,17.05,-0.35%,9087653
360,361,HSY,The Hershey Company,Consumer Defensive,Confectioners,USA,53.32B,31.64,260.72,-0.05%,1576480
361,362,HTHT,H World Group Limited,Consumer Cyclical,Lodging,China,14.70B,-,43.0,-2.89%,1796423
362,363,HUBB,Hubbell Incorporated,Industrials,Electrical Equipment & Parts,USA,17.20B,29.34,320.38,-0.20%,828246
363,364,HUBS,"HubSpot, Inc.",Technology,Software - Application,USA,25.82B,-,519.32,-0.13%,720542
364,365,HUM,Humana Inc.,Healthcare,Healthcare Plans,USA,57.96B,18.11,445.65,-3.92%,5292762
365,366,HWM,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,USA,19.03B,39.84,45.98,-0.13%,2976300
366,367,HZNP,Horizon Therapeutics Public Limited Company,Healthcare,Drug Manufacturers - General,Ireland,23.16B,64.08,101.63,0.32%,2796558
367,368,IBKR,"Interactive Brokers Group, Inc.",Financial,Capital Markets,USA,34.23B,18.15,80.28,-0.82%,962595
368,369,IBM,International Business Machines Corporation,Technology,Information Technology Services,USA,125.67B,66.90,137.48,-0.66%,7468309
369,370,IBN,ICICI Bank Limited,Financial,Banks - Regional,India,79.13B,19.56,22.87,0.00%,6173247
370,371,ICE,"Intercontinental Exchange, Inc.",Financial,Financial Data & Stock Exchanges,USA,62.92B,43.39,111.68,-0.62%,3803685
371,372,ICLR,ICON Public Limited Company,Healthcare,Diagnostics & Research,Ireland,19.14B,37.86,234.12,0.21%,551071
372,373,IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,USA,39.96B,58.13,483.03,0.33%,706647
373,374,IEP,Icahn Enterprises L.P.,Energy,Oil & Gas Refining & Marketing,USA,10.57B,-,27.94,-2.38%,3081634
374,375,IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery,USA,15.90B,27.12,209.75,-0.31%,872664
375,376,IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,USA,20.28B,-,80.35,1.07%,5049504
376,377,IHG,InterContinental Hotels Group PLC,Consumer Cyclical,Lodging,United Kingdom,12.08B,34.64,71.23,-0.45%,90758
377,378,ILMN,"Illumina, Inc.",Healthcare,Diagnostics & Research,USA,33.19B,-,205.87,-1.94%,2441990
378,379,IMO,Imperial Oil Limited,Energy,Oil & Gas Integrated,Canada,29.25B,5.64,49.73,-0.66%,424380
379,380,INCY,Incyte Corporation,Healthcare,Biotechnology,USA,13.96B,43.67,63.23,1.04%,8439018
380,381,INFY,Infosys Limited,Technology,Information Technology Services,India,64.97B,22.52,15.83,1.34%,18245147
381,382,ING,ING Groep N.V.,Financial,Banks - Diversified,Netherlands,47.91B,9.10,13.4,0.30%,2432514
382,383,INTC,Intel Corporation,Technology,Semiconductors,USA,149.41B,-,36.37,1.54%,110103134
383,384,INTU,Intuit Inc.,Technology,Software - Application,USA,127.80B,57.50,455.03,-0.28%,2618104
384,385,INVH,Invitation Homes Inc.,Real Estate,REIT - Residential,USA,21.01B,51.34,34.4,0.17%,4749352
385,386,IOT,Samsara Inc.,Technology,Software - Infrastructure,USA,15.35B,-,28.9,-0.52%,8777117
386,387,IP,International Paper Company,Consumer Cyclical,Packaging & Containers,USA,11.04B,7.48,31.98,0.53%,7097952
387,388,IPG,"The Interpublic Group of Companies, Inc.",Communication Services,Advertising Agencies,USA,15.67B,17.40,40.04,-1.36%,6230899
388,389,IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,USA,40.22B,38.78,216.02,-0.35%,1181617
389,390,IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,USA,26.18B,40.91,64.52,-0.29%,4460532
390,391,IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty,USA,16.67B,28.67,56.76,-0.70%,2379242
391,392,ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,USA,115.03B,90.16,329.36,0.33%,3109805
392,393,IT,"Gartner, Inc.",Technology,Information Technology Services,USA,28.15B,30.77,356.54,0.10%,1345885
393,394,ITUB,Itau Unibanco Holding S.A.,Financial,Banks - Regional,Brazil,53.98B,9.20,5.9,0.00%,18295547
394,395,ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,USA,75.00B,24.81,247.99,0.48%,2186397
395,396,IX,ORIX Corporation,Financial,Credit Services,Japan,22.30B,10.84,89.33,-1.36%,109609
396,397,J,Jacobs Solutions Inc.,Industrials,Engineering & Construction,USA,14.74B,19.30,116.57,0.29%,1273237
397,398,JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics,USA,18.34B,20.07,176.68,-0.14%,986858
398,399,JBL,Jabil Inc.,Technology,Electronic Components,USA,13.88B,14.83,105.36,0.69%,2298166
399,400,JCI,Johnson Controls International plc,Industrials,Building Products & Equipment,Ireland,45.04B,32.54,65.47,-0.27%,3935136
400,401,JD,"JD.com, Inc.",Consumer Cyclical,Internet Retail,China,62.61B,22.97,39.85,-0.28%,11044925
401,402,JHX,James Hardie Industries plc,Basic Materials,Building Materials,Ireland,11.94B,23.94,27.51,-0.72%,33427
402,403,JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,USA,12.05B,34.23,163.54,-1.11%,732858
403,404,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,USA,425.49B,34.36,164.23,0.31%,13397390
404,405,JNPR,"Juniper Networks, Inc.",Technology,Communication Equipment,USA,10.43B,21.35,32.47,0.09%,6112114
405,406,JPM,JPMorgan Chase & Co.,Financial,Banks - Diversified,USA,418.15B,10.57,143.26,0.12%,13797886
406,407,K,Kellogg Company,Consumer Defensive,Packaged Foods,USA,22.60B,27.22,66.29,0.53%,3914303
407,408,KB,KB Financial Group Inc.,Financial,Banks - Regional,South Korea,15.27B,4.47,37.97,-0.94%,196184
408,409,KDP,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,USA,44.58B,34.67,32.17,1.29%,15542447
409,410,KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,USA,29.50B,25.22,164.86,-0.33%,1926856
410,411,KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,USA,45.25B,18.85,36.99,0.33%,12246357
411,412,KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,USA,12.01B,80.04,19.45,0.36%,4544902
412,413,KKR,KKR & Co. Inc.,Financial,Asset Management,USA,50.58B,-,57.2,-2.41%,4647441
413,414,KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,USA,64.84B,18.96,464.89,-1.63%,2010679
414,415,KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,USA,45.99B,23.57,137.68,1.00%,2592967
415,416,KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,USA,38.12B,15.08,17.04,0.18%,24016493
416,417,KMX,"CarMax, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,12.79B,26.39,79.63,-1.51%,2313502
417,418,KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,USA,264.79B,27.17,61.67,0.72%,26713400
418,419,KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",Consumer Defensive,Beverages - Non-Alcoholic,Mexico,18.56B,15.80,88.14,-0.23%,85541
419,420,KR,The Kroger Co.,Consumer Defensive,Grocery Stores,USA,32.97B,14.46,46.17,0.50%,10573424
420,421,KVUE,Kenvue Inc.,Consumer Defensive,Household & Personal Products,USA,49.31B,39.18,26.25,1.94%,2332994
421,422,L,Loews Corporation,Financial,Insurance - Property & Casualty,USA,13.41B,13.29,58.57,-0.46%,2987355
422,423,LBRDA,Liberty Broadband Corporation,Communication Services,Telecom Services,USA,11.25B,11.59,76.27,-0.65%,93636
423,424,LBRDK,Liberty Broadband Corporation,Communication Services,Telecom Services,USA,11.19B,11.61,76.6,-0.53%,974997
424,425,LCID,"Lucid Group, Inc.",Consumer Cyclical,Auto Manufacturers,USA,13.23B,-,6.48,-1.67%,44962025
425,426,LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,USA,11.69B,17.64,85.89,0.76%,2760421
426,427,LECO,"Lincoln Electric Holdings, Inc.",Industrials,Tools & Accessories,USA,11.29B,24.50,195.93,-0.08%,666014
427,428,LEGN,Legend Biotech Corporation,Healthcare,Biotechnology,USA,12.15B,-,70.07,-1.66%,897357
428,429,LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,USA,38.39B,7.59,120.02,0.18%,4573885
429,430,LEN-B,Lennar Corporation,Consumer Cyclical,Residential Construction,USA,38.50B,6.57,105.72,1.39%,161741
430,431,LH,Laboratory Corporation of America Holdings,Healthcare,Diagnostics & Research,USA,20.43B,21.29,234.27,1.61%,1053862
431,432,LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,USA,36.64B,40.66,195.57,1.13%,1772134
432,433,LI,Li Auto Inc.,Consumer Cyclical,Auto Manufacturers,China,35.80B,-,34.41,-0.15%,7234383
433,434,LII,Lennox International Inc.,Industrials,Building Products & Equipment,USA,10.96B,21.64,311.04,0.74%,379364
434,435,LIN,Linde plc,Basic Materials,Specialty Chemicals,United Kingdom,184.30B,41.69,375.29,-0.31%,4364364
435,436,LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,USA,14.57B,13.04,54.23,-0.53%,2631234
436,437,LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,USA,430.90B,71.08,447.71,-1.37%,4283691
437,438,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,USA,116.05B,20.98,459.17,0.71%,1641733
438,439,LNG,"Cheniere Energy, Inc.",Energy,Oil & Gas Midstream,USA,35.76B,4.82,148.68,1.02%,1987540
439,440,LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,USA,13.51B,20.59,53.74,-0.02%,2353284
440,441,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,USA,128.29B,21.13,217.08,-0.85%,6855455
441,442,LPLA,LPL Financial Holdings Inc.,Financial,Capital Markets,USA,16.62B,16.06,208.98,-2.33%,918708
442,443,LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,USA,83.42B,17.06,612.65,-1.34%,2678036
443,444,LSCC,Lattice Semiconductor Corporation,Technology,Semiconductors,USA,12.34B,62.48,88.66,-1.10%,2997244
444,445,LSI,"Life Storage, Inc.",Real Estate,REIT - Industrial,USA,11.08B,30.22,129.78,-0.34%,805307
445,446,LSXMA,The Liberty SiriusXM Group,Communication Services,Broadcasting,USA,30.69B,9.00,30.9,0.10%,772486
446,447,LSXMK,The Liberty SiriusXM Group,Communication Services,Broadcasting,USA,30.28B,9.48,30.91,0.39%,1140794
447,448,LULU,Lululemon Athletica Inc.,Consumer Cyclical,Apparel Retail,Canada,46.66B,51.24,383.02,0.10%,1802691
448,449,LUV,Southwest Airlines Co.,Industrials,Airlines,USA,20.21B,34.53,34.25,0.82%,8737060
449,450,LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,USA,44.83B,-,58.45,-0.36%,4881882
450,451,LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,USA,16.72B,30.52,114.34,-0.35%,1529063
451,452,LYB,LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals,USA,29.85B,9.89,92.24,0.51%,4144097
452,453,LYG,Lloyds Banking Group plc,Financial,Banks - Regional,United Kingdom,37.49B,6.17,2.27,-0.87%,8564546
453,454,LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,USA,20.77B,135.20,90.18,-0.18%,3106510
454,455,MA,Mastercard Incorporated,Financial,Credit Services,USA,359.19B,37.61,376.53,-0.66%,5886891
